,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,disable_communication,country,currency,goal,deadline,created_at
126,256,0.0031622776601683,128,CLIP,109633665.0,109781506,0.8067933,0.5327034611963831,0.5,0.5,0.8,0.8083333333333333,3.201142362740667e-06,0.0008852289174683,0.0009509432711638
127,256,0.0031622776601683,128,CONTROL,,109781506,,,0.5,,,,,,
128,256,0.0031622776601683,128,GMC,223797504.0,110907778,0.74433935,0.5235849413840715,0.5,0.5,0.2,0.2,2.314998255314899e-07,0.0007657788228243,0.0010137612698599
129,256,0.0031622776601683,128,ICEH,111268737.0,111416578,0.53720695,0.5226074964582413,0.5,0.5,0.2,0.2,7.046881478344796e-07,0.0855733305215835,0.0329762622714042
130,256,0.0031622776601683,128,MCN,109634688.0,109781506,0.57469517,0.5288126150509478,0.5,0.847457627118644,1.0,1.0,2.3273454985422122e-07,0.001759483711794,0.0017882223473861
131,256,0.0031622776601683,128,SCARF,111333760.0,111317506,0.63656026,0.5220970004037582,0.5,,,,,,
132,256,0.0031622776601683,128,SUBTAB,110907520.0,110907778,0.8814931,0.525488947298915,0.5,,,,,,
133,256,0.0031622776601683,256,CLIP,109883393.0,110473986,0.74656683,0.5306458567931949,0.5,0.3050847457627119,0.8,0.6,3.3228163829333893e-06,0.0009783365530893,0.0010844487696886
134,256,0.0031622776601683,256,CONTROL,,110473986,,,0.5,,,,,,
135,256,0.0031622776601683,256,GMC,223912448.0,111465474,0.7591161,0.5247816605771611,0.5,0.5,0.2,0.2,4.149600556501906e-07,0.0354876667261123,0.0406556501984596
136,256,0.0031622776601683,256,ICEH,111334401.0,111924994,0.630117,0.521376223522011,0.5,0.5,0.2,0.2,7.560071253464537e-07,0.0816387608647346,0.0190339460968971
137,256,0.0031622776601683,256,MCN,109885440.0,110473986,0.620949,0.5297211891599701,0.5,0.8644067796610169,1.0,1.0,2.3273454985422122e-07,0.0022487400565296,0.0014201396843418
138,256,0.0031622776601683,256,SCARF,111383168.0,111383554,0.6292075,0.5223916538983486,0.5,,,,,,
139,256,0.0031622776601683,256,SUBTAB,111202816.0,111203330,0.96383953,0.5188817272706188,0.5,,,,,,
