,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime3,Sa
128,1024,0.002,32,GMC,819488.0,305377,0.34610507,3.702629e-05,0.00015215957,70667.0546875,570.4386596679688,0.1135283038020134,0.0097308177500963,0.7485220432281494,16.971698760986328,63.575469970703125,0.0001306918275076,1.0390251874923706,9.315879765381396e-07,1.0094496474266634e-06,7.50298738694255e-07,4.97468590765493e-07,4.482704341057797e-08,3.43238966138415e-08,9.60896159085678e-07
129,1024,0.002,32,ICEH,305441.0,321889,0.38753486,3.4911372e-05,3.6432342e-05,75407.03125,497.3852233886719,0.2139261066913604,0.0013556602643802,0.833616316318512,12.441823959350586,34.526729583740234,0.0001929716963786,0.9571226239204408,1.0575471378615475e-06,6.22956008555775e-07,8.529875117346819e-07,1.3414621662377613e-06,3.94968537875684e-08,5.570755234884928e-08,6.534748422382108e-07
130,1024,0.002,32,MCN,21184.0,34369,0.5235724,4.29105e-05,7.244126e-05,101503.8203125,1326.1650390625,0.4864448308944702,0.1049243733286857,4.074355125427246,81.48584747314453,115.1100616455078,0.0022168473806232,6.16676139831543,1.860031488831737e-06,2.0002200926683145e-06,1.7492295683041448e-06,6.374371537276602e-07,1.1930818288874434e-07,1.243239040604749e-07,2.369748472119681e-06
131,1024,0.002,32,SCARF,35392.0,34369,0.50133556,4.4701424e-05,9.480011e-05,,,,,,,,,,,,,,,,
132,1024,0.002,32,SUBTAB,26176.0,34369,0.48600173,3.9336417e-05,6.334353e-05,,,,,,,,,,,,,,,,
133,1024,0.002,64,CLIP,68609.0,134273,0.53050417,4.3918095e-05,5.4053275e-05,237321.109375,1561.581787109375,0.1673646122217178,0.004004874266684,1.2567766904830933,5.369496822357178,84.01729583740234,7.763993926346302e-05,5.931934833526611,8.114151341942488e-07,7.711949479016766e-07,4.833804609916115e-07,2.540880572610149e-08,1.0534591154964801e-07,9.674529621861438e-08,3.704402118387407e-08
134,1024,0.002,64,CONTROL,,134273,,,5.9139333e-05,,,,,,,,,,,,,,,,
135,1024,0.002,64,GMC,823616.0,358721,0.38881218,3.7514714e-05,9.751512e-05,69256.0625,742.8443603515625,0.1081143021583557,0.0103661939501762,0.817924439907074,17.904088973999023,67.13207244873047,0.0001212185597978,1.0518395900726318,8.700314424459066e-07,9.778773346624805e-07,9.0858497969748e-07,8.301100820062857e-07,3.688679228730507e-08,1.1855345150024732e-08,1.2469496368794353e-06
136,1024,0.002,64,ICEH,309569.0,375233,0.30314234,2.559721e-05,3.3710792e-05,393292.46875,5102.8095703125,0.7147473096847534,0.0006979559548199,4.766887187957764,3.6194968223571777,15.54716968536377,0.0004158364899922,0.3858333528041839,1.337610001428402e-06,6.326887387331226e-07,9.719182116896263e-07,7.247012376865314e-07,1.0803458394548217e-07,1.1569181879167445e-07,6.362578801599739e-07
137,1024,0.002,64,MCN,75136.0,134273,0.47525072,4.04208e-05,5.1403633e-05,77641.2578125,1520.2154541015625,0.4991704523563385,0.1027787625789642,6.695550441741943,45.37421417236328,175.83963012695312,0.0017915850039571,12.860346794128418,1.9629087546491064e-06,3.482924512354657e-06,9.6759436019056e-07,7.581132308587257e-07,1.4374214174495137e-07,1.593239034036742e-07,1.5957702999003232e-06
138,1024,0.002,64,SCARF,138368.0,134273,0.43788615,4.314044e-05,0.0001724625,,,,,,,,,,,,,,,,
139,1024,0.002,64,SUBTAB,101504.0,134273,0.5287176,3.832551e-05,4.894996e-05,,,,,,,,,,,,,,,,
140,1024,0.002,128,CLIP,268289.0,530689,0.5290482,4.4549975e-05,0.0001618241,233974.875,1615.8868408203125,0.244540736079216,0.0039816037751734,1.0018081665039062,7.808176040649414,114.72169494628906,0.0001561304961796,2.190424680709839,9.602358659321908e-07,1.0120126034962595e-06,9.892767138808267e-07,9.433490504306974e-07,1.1874212901830107e-07,1.3025156420098938e-07,8.846698733577796e-07
141,1024,0.002,128,CONTROL,,530689,,,0.0001484914,,,,,,,,,,,,,,,,
142,1024,0.002,128,GMC,831872.0,563713,0.36611196,3.6638194e-05,4.313378e-05,72932.734375,709.7437133789062,0.1084592789411544,0.010133490897715,0.6976572871208191,16.60377311706543,67.03459167480469,0.0001291194930672,1.091257929801941,8.657547709844948e-07,6.390566227310046e-07,8.913522151487996e-07,7.540566002717242e-07,5.7389932806017896e-08,5.204402686587173e-09,1.4091823459239097e-06
143,1024,0.002,128,ICEH,317825.0,580225,0.4105508,2.6991494e-05,0.0008386382,96136.140625,2890.30029296875,0.7479268908500671,0.0016325472388416,1.111493706703186,5.325471878051758,13.21855354309082,0.0003886886697728,0.4187421500682831,5.526729296434496e-07,4.742610144603532e-07,5.568239203057601e-07,5.816667112412688e-07,9.985848947735577e-08,8.805032081227183e-08,5.894811465623206e-07
144,1024,0.002,128,MCN,281344.0,530689,0.18475756,3.5273148e-05,0.00022622047,711896.75,2852.803466796875,0.57304447889328,0.0707444995641708,3.248192071914673,72.6996841430664,351.5377502441406,0.0019058097386732,8.175079345703125,2.2233175513974857e-06,9.420441529073288e-07,1.45187107136735e-06,7.156604624469765e-07,1.0169812014737545e-07,1.0614780165951745e-07,6.3547167883371e-07
145,1024,0.002,128,SCARF,547072.0,530689,0.47938284,4.5798377e-05,0.00054470246,,,,,,,,,,,,,,,,
146,1024,0.002,128,SUBTAB,399616.0,530689,0.29689842,3.8932605e-05,5.529154e-05,,,,,,,,,,,,,,,,
