,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,sex,race_African-American,race_Caucasian,c_charge_degree_F,c_charge_degree_M,age_cat_25-45,age_cat_Greaterthan45,age_cat_Lessthan25,age,juv_misd_count,priors_count
32,1024,0.0002,64,MCN,20416.0,59138,0.4515642,0.6352869649805448,0.6774156939040208,0.5,0.5374689530808751,0.5613197917729917,0.4570080457177231,0.5226332806977968,0.5,0.6900510204081632,0.5746005154639175,356.1408386230469,0.4406438767910003,23.51509094238281
33,1024,0.0002,64,SCARF,63168.0,59138,0.57004344,0.6561365110246433,0.675470168612192,,,,,,,,,,,
34,1024,0.0002,64,SUBTAB,30400.0,59138,0.4558095,0.6225275616083009,0.6731112191958495,,,,,,,,,,,
35,1024,0.0002,128,CLIP,52353.0,232962,0.50649333,0.632530804150454,0.6736624513618676,0.546330668189606,0.6066482936953489,0.7509526725868463,0.5416290698548762,0.5004793593503271,0.5,0.9888605442176872,0.85625,74.30181121826172,2.269617795944214,942.891357421875
36,1024,0.0002,128,CONTROL,,232962,,,0.6668612191958495,,,,,,,,,,,
37,1024,0.0002,128,GMC,318080.0,265986,0.430273,0.612629701686122,0.6803420881971465,0.5,0.6597938144329897,0.6701030927835052,0.5705128205128205,0.5673076923076923,0.6460396039603961,0.5,0.5,203.7967834472656,0.2072434574365615,25.714284896850582
38,1024,0.0002,128,ICEH,101889.0,282498,0.7398862,0.6634889753566797,0.6790856031128405,0.4953312392918332,1.0,1.0,1.0,1.0,0.8514851485148515,1.0,0.6275,113.14688110351562,0.7766599655151367,25.01810836791992
39,1024,0.0002,128,MCN,65408.0,232962,0.46742278,0.6430852788586252,0.6818579766536965,0.4842233009708738,0.5,0.654639175257732,0.5,0.5218625460560944,0.4274794428595402,0.5,0.7870876288659794,217.3661956787109,1.154929518699646,31.277666091918945
40,1024,0.0002,128,SCARF,249216.0,232962,0.5433158,0.663780804150454,0.6731112191958495,,,,,,,,,,,
41,1024,0.0002,128,SUBTAB,118144.0,232962,0.4696338,0.6311202983138781,0.6682555123216602,,,,,,,,,,,
42,1024,0.0003,32,CLIP,3873.0,15234,0.49918064,0.6364218547341116,0.6632457846952011,0.4804540262707024,0.5128865979381443,0.5,0.3845213925859087,0.4286506504248439,0.5,0.5,0.5800386597938144,750.4225463867188,9.802817344665527,1042.84912109375
43,1024,0.0003,32,CONTROL,,15234,,,0.6697714007782101,,,,,,,,,,,
44,1024,0.0003,32,GMC,305696.0,84354,0.38898513,0.6164153696498054,0.665466926070039,0.5,0.6935031131979177,0.6909257936102888,0.608974358974359,0.608974358974359,0.6410891089108911,0.5,0.5,133.62173461914062,0.2072434574365615,22.271629333496094
45,1024,0.0003,32,ICEH,89505.0,100866,0.71416545,0.6565499351491569,0.6763132295719845,0.5,1.0,1.0,1.0,1.0,0.7153465346534653,1.0,0.68125,153.3682098388672,0.7927565574645996,21.893360137939453
46,1024,0.0003,32,MCN,7136.0,15234,0.46192062,0.630844682230869,0.6588035019455253,0.4553398058252427,0.747541764485727,0.8069987411112245,0.5,0.5,0.4786121832522235,0.5,0.4954639175257732,222.60765075683597,0.2837022244930267,27.35211181640625
47,1024,0.0003,32,SCARF,16224.0,15234,0.46825188,0.6201686121919585,0.6710278858625163,,,,,,,,,,,
48,1024,0.0003,32,SUBTAB,8032.0,15234,0.5421054,0.6368028534370946,0.6843709468223087,,,,,,,,,,,
49,1024,0.0003,64,CLIP,13889.0,59138,0.46129864,0.6510051880674449,0.6739380674448767,0.5,0.5335051546391752,0.7772277227722773,0.6479810512068577,0.7292559590946688,0.6262376237623762,0.5025510204081632,0.6486984536082474,379.891357421875,7.072434425354004,151.94969177246094
50,1024,0.0003,64,CONTROL,,59138,,,0.6731112191958495,,,,,,,,,,,
51,1024,0.0003,64,GMC,309824.0,122370,0.4379083,0.6283641374837874,0.6707522697795072,0.5,0.6623711340206185,0.6649484536082474,0.5897435897435898,0.5897435897435898,0.650990099009901,0.5,0.5,107.98591613769533,0.2072434574365615,22.945674896240234
52,1024,0.0003,64,ICEH,93633.0,138882,0.71851015,0.6166909857328146,0.6760214007782102,0.531753283837807,1.0,1.0,1.0,1.0,0.5,1.0,0.5,128.6639862060547,0.9476861357688904,21.81086540222168
