,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fLength:,fWidth:,fSize:,fConc:,fConc1:,fAsym:,fM3Long:,fM3Trans:,fAlpha:,fDist:
118,1024,0.001,64,SUBTAB,59392.0,84034,0.37022755,0.7693221198640621,0.8283280118510045,,,,,,,,,,
119,1024,0.001,128,CLIP,167681.0,331906,0.3779726,0.7789957480276255,0.8394919529802908,818.8123168945312,85.6629867553711,0.0436222404241561,0.0011035621864721,0.0008170467917807,28637.666015625,6778.02783203125,1670.50341796875,1468.698974609375,24120.103515625
120,1024,0.001,128,CONTROL,,331906,,,0.8401968911222482,,,,,,,,,,
121,1024,0.001,128,GMC,532352.0,364930,0.65957886,0.7488856168041166,0.8499643620812545,649.6442260742188,125.18543243408205,0.0514414720237255,0.0059437281452119,0.0027025572489947,4821.71728515625,4607.84228515625,980.050537109375,855.4694213867188,6736.240234375
122,1024,0.001,128,ICEH,217217.0,381442,0.6625372,0.7954562212187498,0.850745268200475,303.53875732421875,49.46929931640625,0.1492227911949157,0.0055374503135681,0.0023928144946694,12949.126953125,4033.185791015625,1860.199462890625,909.8031616210938,30182.560546875
123,1024,0.001,128,MCN,180736.0,331906,0.5433421,0.7834577495157041,0.835797451497798,787.507080078125,255.2209625244141,0.6048176884651184,0.0471804551780223,0.0206798575818538,3535.717041015625,3465.74755859375,2469.98681640625,1186.33544921875,10183.4970703125
124,1024,0.001,128,SCARF,348160.0,331906,0.62393546,0.7445442703387501,0.8074055371718016,,,,,,,,,,
125,1024,0.001,128,SUBTAB,233472.0,331906,0.40186998,0.7751984663406002,0.8082445364501059,,,,,,,,,,
126,1024,0.002,32,CLIP,11201.0,21538,0.3862437,0.7826947182146632,0.8156514142332708,425.3876037597656,134.24411010742188,0.049047764390707,0.0012047025375068,0.0007306158659048,25975.76171875,4614.37255859375,1040.751953125,1049.55517578125,21818.98828125
127,1024,0.002,32,CONTROL,,21538,,,0.8238570729538361,,,,,,,,,,
128,1024,0.002,32,GMC,519968.0,198658,0.58923167,0.7669213083473168,0.8394338598212071,481.733642578125,139.87054443359375,0.0507416315376758,0.0049841720610857,0.0023566605523228,4606.0439453125,4903.08984375,857.8560791015625,803.593994140625,9305.103515625
129,1024,0.002,32,ICEH,204833.0,215170,0.61432576,0.7933011884519736,0.8492057994847584,168.34716796875,39.6270637512207,0.1205340847373008,0.0060433759354054,0.0023058636579662,4430.859375,3805.509521484375,1557.0716552734375,930.3033447265624,8847.5166015625
130,1024,0.002,32,MCN,14464.0,21538,0.5336187,0.7618839611490826,0.7841224693167574,2203.36181640625,307.5882263183594,0.3042058050632477,0.0812409967184066,0.0262013431638479,4265.080078125,5999.9482421875,577.8141479492188,1771.0491943359375,23515.716796875
131,1024,0.002,32,SCARF,22528.0,21538,0.6988777,0.7489034916222961,0.8021268799281432,,,,,,,,,,
132,1024,0.002,32,SUBTAB,15360.0,21538,0.38884804,0.7745426839486367,0.8282788561010106,,,,,,,,,,
133,1024,0.002,64,CLIP,42881.0,84034,0.40897176,0.7655382442906713,0.8507229246777506,919.2842407226562,184.743408203125,0.0401693172752857,0.0011923126876354,0.0006347966846078,23495.08203125,5061.19677734375,834.1967163085938,1230.1683349609375,20832.736328125
134,1024,0.002,64,CONTROL,,84034,,,0.7873980297481662,,,,,,,,,,
135,1024,0.002,64,GMC,524096.0,233602,0.7205188,0.7632089320466444,0.8476797368826764,543.974853515625,183.4871063232422,0.0537135265767574,0.0051760044880211,0.0024047163315117,5293.10498046875,3723.429931640625,777.4048461914062,814.4872436523438,14130.80859375
136,1024,0.002,64,ICEH,208961.0,250114,0.6426346,0.79845025326383,0.8485589545018847,282.5797119140625,56.60433197021485,0.0627516731619834,0.0041382107883691,0.0019655211362987,9798.990234375,3928.372314453125,1611.3914794921875,899.3827514648438,16115.671875
137,1024,0.002,64,MCN,49408.0,84034,0.43071443,0.7871969380436459,0.838086545400921,690.0294799804688,271.0406188964844,1.3311233520507812,0.0762869864702224,0.028406286612153,4185.20166015625,3144.176513671875,545.3068237304688,1278.666015625,9958.0830078125
138,1024,0.002,64,SCARF,88064.0,84034,0.584744,0.7594071816550741,0.8058124440015462,,,,,,,,,,
139,1024,0.002,64,SUBTAB,59392.0,84034,0.36925787,0.770763277079791,0.8186677898010756,,,,,,,,,,
140,1024,0.002,128,CLIP,167681.0,331906,0.38349026,0.7810882189307731,0.8432624224400468,628.6218872070312,111.1757583618164,0.0382738523185253,0.0011046943254768,0.0006952252588234,17941.111328125,5745.25634765625,1959.228271484375,1284.9251708984375,20959.044921875
