,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,month,hour,temp,feel_temp,humidity,windspeed
136,1024,0.002,64,ICEH,112961.0,137665,0.47967482,18630.809,10252.886,0.1243467763867122,0.048592700600919,2.316671848297119,2.7923924922943115,0.027945376932621,56.80918502807617
137,1024,0.002,64,MCN,25984.0,44161,0.247036,11576.456,10327.422,0.2529376618859947,0.0582293732834226,30.41244888305664,15.675113677978516,0.0679739490151405,348.769775390625
138,1024,0.002,64,SCARF,48256.0,44161,0.3754843,11132.149,10024.711,,,,,,
139,1024,0.002,64,SUBTAB,27776.0,44161,0.37680775,13347.101,10067.615,,,,,,
140,1024,0.002,128,CLIP,71681.0,170241,0.47612306,14884.263,9820.337,0.2754495945278447,0.0658256673881673,2.7253856658935547,5.951250553131104,0.0635817945003509,611.0857543945312
141,1024,0.002,128,CONTROL,,170241,,,10113.966,,,,,,
142,1024,0.002,128,GMC,274816.0,203265,0.1585291,11452.578,10274.271,0.2660871865592948,0.0503464473840324,3.751878499984741,6.523117542266846,0.0380822122097015,100.8563995361328
143,1024,0.002,128,ICEH,121217.0,219777,0.48798662,19437.482,10350.168,0.1813633006160718,0.050438596491228,2.619910955429077,2.9738898277282715,0.1397145539522171,361.9062194824219
144,1024,0.002,128,MCN,84736.0,170241,0.21996713,11664.568,9985.892,0.2234893256294839,0.0693730543973182,32.38350296020508,24.410343170166016,0.0671603605151176,252.09991455078125
145,1024,0.002,128,SCARF,186624.0,170241,0.17335136,11065.537,10455.093,,,,,,
146,1024,0.002,128,SUBTAB,104704.0,170241,0.41898003,14813.245,9898.479,,,,,,
147,1024,0.003,32,CLIP,5633.0,11841,0.30614012,13373.716,10367.357,0.2741437447705852,0.0935188779661896,2.7432785034179688,9.237393379211426,0.0646141469478607,730.9217529296875
148,1024,0.003,32,CONTROL,,11841,,,10868.656,,,,,,
149,1024,0.003,32,GMC,262432.0,98529,0.15963566,12786.477,10469.753,0.2682536354877791,0.0640609556174331,6.213578701019287,8.04100227355957,0.0387701690196991,89.66692352294922
150,1024,0.003,32,ICEH,108833.0,115041,0.5734606,19903.264,10073.278,0.1673152203314386,0.0807390592542629,2.8675878047943115,3.323258638381958,0.0408443957567215,619.77490234375
151,1024,0.003,32,MCN,8896.0,11841,0.41524583,11375.969,10817.65,0.2914014885674743,0.0529523500497947,9.341089248657228,7.670804977416992,0.0736501365900039,591.4302368164062
152,1024,0.003,32,SCARF,12864.0,11841,0.20094828,10938.424,10676.679,,,,,,
153,1024,0.003,32,SUBTAB,7744.0,11841,0.32548645,13496.385,10786.464,,,,,,
154,1024,0.003,64,CLIP,19457.0,44161,0.39434576,15029.807,9972.949,0.2803127999322509,0.0573886685430311,2.7856569290161133,9.093365669250488,0.0609027966856956,748.77978515625
155,1024,0.003,64,CONTROL,,44161,,,10499.82,,,,,,
156,1024,0.003,64,GMC,266560.0,121153,0.15738933,11858.492,10413.838,0.2687656913145606,0.0649881530469907,5.74836015701294,8.561710357666016,0.0371987409889698,87.30701446533203
157,1024,0.003,64,ICEH,112961.0,137665,0.5135786,20046.256,10466.05,0.2382217613358208,0.0756871248080413,2.476767539978028,2.8913843631744385,0.13320392370224,1422.1495361328125
158,1024,0.003,64,MCN,25984.0,44161,0.28438905,10865.254,10408.608,0.2801396014148357,0.0697994435096292,12.958297729492188,23.716676712036133,0.0730141401290893,361.216064453125
159,1024,0.003,64,SCARF,48256.0,44161,0.21315889,11126.856,9975.934,,,,,,
160,1024,0.003,64,SUBTAB,27776.0,44161,0.47471964,14458.865,9841.44,,,,,,
161,1024,0.003,128,CLIP,71681.0,170241,0.42557546,17276.545,10009.284,0.3014294363508248,0.0664184714998264,2.807316541671753,5.673719882965088,0.0547491535544395,835.2592163085938
162,1024,0.003,128,CONTROL,,170241,,,10119.759,,,,,,
163,1024,0.003,128,GMC,274816.0,203265,0.1562336,12480.562,10369.24,0.2512395263790287,0.0768886647850654,5.318928718566895,8.062779426574707,0.0394523777067661,98.93712615966795
164,1024,0.003,128,ICEH,121217.0,219777,0.513102,20399.41,10901.097,0.2787313569543622,0.0547080141383947,2.686774492263794,3.0101122856140137,0.1067539304494857,392.0179443359375
165,1024,0.003,128,MCN,84736.0,170241,0.21087964,11745.739,9908.536,0.2247181506933681,0.0565262081169447,22.87101936340332,24.613510131835938,0.064128428697586,349.15264892578125
166,1024,0.003,128,SCARF,186624.0,170241,0.29543588,19628.875,9977.154,,,,,,
167,1024,0.003,128,SUBTAB,104704.0,170241,0.4694744,14795.543,10171.954,,,,,,
168,1024,0.005,32,CLIP,5633.0,11841,0.32188052,13545.02,9808.973,0.3074844756446007,0.0825951826954991,3.110556125640869,7.47751522064209,0.0788621827960014,846.307861328125
169,1024,0.005,32,CONTROL,,11841,,,10029.392,,,,,,
170,1024,0.005,32,GMC,262432.0,98529,0.16562979,15562.483,10150.457,0.2495811555216296,0.0504974511193194,5.37543249130249,8.0368070602417,0.0379568636417388,98.15151977539062
171,1024,0.005,32,ICEH,108833.0,115041,0.530992,20978.482,10986.023,0.2573783205192332,0.0607672277240254,2.499368906021118,3.07926869392395,0.116115964949131,471.0884094238281
172,1024,0.005,32,MCN,8896.0,11841,0.40233377,11472.484,10930.313,0.300092387946926,0.0448569029581698,7.361557960510254,7.565715312957764,0.0806312263011932,751.814453125
173,1024,0.005,32,SCARF,12864.0,11841,0.438147,15721.266,10969.769,,,,,,
174,1024,0.005,32,SUBTAB,7744.0,11841,0.2982688,12914.485,9950.356,,,,,,
175,1024,0.005,64,CLIP,19457.0,44161,0.4139484,17531.928,9651.51,0.3263773649866513,0.0732461269667864,2.7978994846343994,5.913430690765381,0.0528141409158706,656.9910278320312
176,1024,0.005,64,CONTROL,,44161,,,10684.04,,,,,,
177,1024,0.005,64,GMC,266560.0,121153,0.15895244,14818.066,10551.125,0.2635670709176564,0.0625709970765923,4.4779582023620605,7.130205631256104,0.0379561632871627,95.8760757446289
178,1024,0.005,64,ICEH,112961.0,137665,0.46682215,21486.86,10078.64,0.1293566626273861,0.0416666666666666,3.377068042755127,3.787163019180298,0.1588397771120071,1738.6536865234375
179,1024,0.005,64,MCN,25984.0,44161,0.23958173,10931.469,9857.653,0.2881672079595416,0.0560880166058977,10.7263822555542,11.89254093170166,0.0795305296778678,502.3452453613281
180,1024,0.005,64,SCARF,48256.0,44161,0.33859032,20494.85,10778.282,,,,,,
181,1024,0.005,64,SUBTAB,27776.0,44161,0.4312647,14121.031,10004.474,,,,,,
182,1024,0.005,128,CLIP,71681.0,170241,0.45882377,19932.59,10091.834,0.270330472885644,0.0668289092764391,2.738569736480713,5.613663673400879,0.052632350474596,554.2157592773438
183,1024,0.005,128,CONTROL,,170241,,,10537.819,,,,,,
184,1024,0.005,128,GMC,274816.0,203265,0.22180305,14474.893,10443.236,0.2332393121388307,0.0606118112919464,6.106220245361328,7.267732620239258,0.0368420146405696,82.6315689086914
185,1024,0.005,128,ICEH,121217.0,219777,0.47363895,24105.61,9944.907,0.0967942732648615,0.0497727517052851,56.90726852416992,77.472900390625,0.0375434197485446,145.4943389892578
186,1024,0.005,128,MCN,84736.0,170241,0.2076,11442.766,9976.602,0.1879737632773538,0.0605370099347317,16.47850799560547,40.99112701416016,0.0613739490509033,246.962158203125
