,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,dx_type,sex,localization,age
66,512,0.00075,128,ICEH,26935465.0,27018415,0.70248485,0.4269774825353026,0.935267743913486,0.5875576036866359,0.9683725365543548,0.2857235932347622,82.66931915283203
67,512,0.00075,128,MCN,25711272.0,25787695,0.39985088,0.5556956165550797,0.9527244031941136,0.8151938194632692,0.5247933884297521,0.2880952380952381,487.9482116699219
68,512,0.00075,128,SCARF,25803304.0,25787695,0.543016,0.4065794725850539,0.9316185976878312,,,,
69,512,0.00075,128,SUBTAB,25737768.0,25787695,0.47058806,0.6555192823398016,0.8901050221083457,,,,
70,512,0.00075,256,CLIP,25885225.0,26214959,0.31384903,0.5949436789641229,0.7594259445071561,0.982989970181621,0.9559758423394789,0.9337073454557632,510.7569580078125
71,512,0.00075,256,CONTROL,,26214959,,,0.9588828566252372,,,,
72,512,0.00075,256,GMC,54394192.0,27068207,0.19413103,0.5139539696475605,0.9352100243082307,0.6911764705882353,0.7995232040686586,0.6111159495443746,190.537841796875
73,512,0.00075,256,ICEH,27001129.0,27330863,0.32683462,0.4277657580445113,0.899001884335824,0.9351450257522363,0.9521296884933248,0.4902987073873149,1464.0438232421875
74,512,0.00075,256,MCN,25898280.0,26214959,0.346944,0.475908248871688,0.9285206819046026,0.5147058823529411,0.6270184361093452,0.0822784810126582,426.4940185546875
75,512,0.00075,256,SCARF,26278952.0,26214959,0.4940607,0.5290185925116314,0.9004951781707708,,,,
76,512,0.00075,256,SUBTAB,26016808.0,26214959,0.46614018,0.5406389968922892,0.9014404766881876,,,,
77,512,0.00075,512,CLIP,26344489.0,27659311,0.4244755,0.6483029629762352,0.9250126319184392,0.982989970181621,0.976923076923077,0.938868131640842,637.3505859375
78,512,0.00075,512,CONTROL,,27659311,,,0.8344336839213298,,,,
79,512,0.00075,512,GMC,54525520.0,28184623,0.2638715,0.5568238041485251,0.8702373387165812,0.7794117647058824,0.8418626827717737,0.5996442212609375,315.637451171875
