,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude
72,1024,0.0005,64,GMC,424256.0,191874,0.9520842,0.780537326216065,0.8034555815587119,3.989173173904419,172.5625,2.173626661300659,0.2650724053382873,2784540.5,0.6363061666488647,15.766565322875977,15.55103874206543
73,1024,0.0005,64,ICEH,175425.0,208386,0.7124463,0.7576895047838712,0.8021793191013009,33.72832489013672,361.0,1.754902720451355,2.41682767868042,3237893.25,0.7580112218856812,11.428096771240234,12.794678688049316
74,1024,0.0005,64,MCN,40832.0,67266,0.7105887,0.6120631688873696,0.7736000555958333,10.544711112976074,361.0,15.58962631225586,0.2623025178909302,3237893.25,1.8607207536697388,9.830147743225098,10.812986373901367
75,1024,0.0005,64,SCARF,71296.0,67266,0.7787744,0.5069710788972491,0.6983090226778409,,,,,,,,
76,1024,0.0005,64,SUBTAB,50816.0,67266,0.710919,0.6177298117630265,0.7684424151130511,,,,,,,,
77,1024,0.0005,128,CLIP,134145.0,265602,0.709504,0.6722362672656992,0.7995131608109478,6.253859996795654,265.0625,1.4158474206924438,0.2548288702964782,3945308.0,0.9561747312545776,10.911349296569824,8.568049430847168
78,1024,0.0005,128,CONTROL,,265602,,,0.7784806560308332,,,,,,,,
79,1024,0.0005,128,GMC,432512.0,298626,0.95618266,0.7842562366879909,0.8000963535894999,5.733683109283447,129.25,1.9092111587524412,0.2445181757211685,3453976.5,0.6033505201339722,20.04589080810547,18.20957946777344
80,1024,0.0005,128,ICEH,183681.0,315138,0.6917755,0.74990984459462,0.8046661056996999,6.131828784942627,326.0,1.4037400484085083,0.0057418677024543,4802495.5,1.4061806201934814,9.830147743225098,10.812986373901367
81,1024,0.0005,128,MCN,147200.0,265602,0.70996684,0.6856816312118013,0.8027099212267146,7.347445964813232,221.5,3.616729736328125,0.2603814005851745,3033334.75,0.898179829120636,18.53539085388184,14.630117416381836
82,1024,0.0005,128,SCARF,281856.0,265602,0.8817176,0.5134970154804344,0.7634303380452054,,,,,,,,
83,1024,0.0005,128,SUBTAB,199936.0,265602,0.71091247,0.6599788886092401,0.7815506354077841,,,,,,,,
84,1024,0.0007,32,CLIP,8961.0,17250,0.70735735,0.6979127145416912,0.8036133535181269,3.4039089679718018,239.5,1.026202917098999,0.2504809498786926,4324745.5,1.082500696182251,11.412198066711426,12.198704719543455
85,1024,0.0007,32,CONTROL,,17250,,,0.8028723887801599,,,,,,,,
86,1024,0.0007,32,GMC,420128.0,163074,0.9033898,0.791584180731536,0.8014073634427343,3.323613405227661,158.0,1.8015350103378296,0.2642635703086853,4442187.5,0.5850495100021362,13.158044815063477,13.872310638427734
87,1024,0.0007,32,ICEH,171297.0,179586,0.7273592,0.7503484130770415,0.7992060689613721,5.237214088439941,100.75,2.090776205062866,0.0037809128407388,5524570.5,0.9735238552093506,11.712352752685549,10.8532075881958
88,1024,0.0007,32,MCN,12224.0,17250,0.71061176,0.6184754720950238,0.7872689298177733,12.04818058013916,572.25,3.616729736328125,0.2562841176986694,3237893.25,0.5978362560272217,9.830147743225098,10.812986373901367
89,1024,0.0007,32,SCARF,18240.0,17250,0.80726767,0.6272243028921103,0.793869056786636,,,,,,,,
90,1024,0.0007,32,SUBTAB,13120.0,17250,0.7107959,0.6379556134887512,0.803100594650028,,,,,,,,
91,1024,0.0007,64,CLIP,34305.0,67266,0.70826155,0.683322564771024,0.8055385470705128,5.386201858520508,233.0625,1.3063517808914185,0.2542060315608978,3936045.5,0.9611895680427552,13.026047706604004,12.95189094543457
92,1024,0.0007,64,CONTROL,,67266,,,0.778028939885127,,,,,,,,
93,1024,0.0007,64,GMC,424256.0,191874,0.9598466,0.7824446765111361,0.803797420804111,3.4408082962036133,145.125,1.9849395751953125,0.2652895748615265,3610633.0,0.7044283747673035,14.56039333343506,14.444026947021484
94,1024,0.0007,64,ICEH,175425.0,208386,0.59194875,0.7536287550665459,0.8039861836841256,4.000724792480469,186.0,1.5049500465393066,0.5213629603385925,4802495.5,1.1927536725997925,12.636497497558594,10.812986373901367
95,1024,0.0007,64,MCN,40832.0,67266,0.71046543,0.6559134432978847,0.7999122863035157,10.676793098449709,361.0,4.598044395446777,0.3006429076194763,3237893.25,0.898179829120636,9.830147743225098,10.812986373901367
96,1024,0.0007,64,SCARF,71296.0,67266,0.7623452,0.5619902932680207,0.7968028639367108,,,,,,,,
97,1024,0.0007,64,SUBTAB,50816.0,67266,0.7109411,0.6195488848903297,0.7785463943472561,,,,,,,,
98,1024,0.0007,128,CLIP,134145.0,265602,0.7095176,0.6824322801428964,0.8073407160593072,5.099094390869141,206.125,1.265593409538269,0.0080287689343094,4034495.5,0.5946130156517029,11.496248245239258,8.111021041870117
99,1024,0.0007,128,CONTROL,,265602,,,0.7899839222860405,,,,,,,,
100,1024,0.0007,128,GMC,432512.0,298626,0.9237415,0.7958994316452985,0.8066917849643322,2.539492130279541,139.5625,1.8162742853164675,0.261333703994751,3798772.0,0.47781902551651,15.824445724487305,15.43083381652832
101,1024,0.0007,128,ICEH,183681.0,315138,0.7742244,0.7585666417487144,0.8051262739146604,3.599747657775879,249.25,1.5242934226989746,0.0102395396679639,1161354.375,1.5097010135650637,15.562090873718262,12.794678688049316
102,1024,0.0007,128,MCN,147200.0,265602,0.7102865,0.657444206951733,0.800346159191907,14.57328987121582,562.25,4.70184850692749,0.2801011204719543,3237893.25,0.5615570545196533,9.950623512268066,10.812986373901367
103,1024,0.0007,128,SCARF,281856.0,265602,0.8308542,0.6621097491801493,0.7963511477910048,,,,,,,,
104,1024,0.0007,128,SUBTAB,199936.0,265602,0.7106318,0.6610400928600675,0.8015388400755803,,,,,,,,
105,1024,0.001,32,CLIP,8961.0,17250,0.7056271,0.7541640527859899,0.8068148095279237,6.733111381530762,184.4375,1.2900443077087402,0.2519661486148834,1359092.125,0.997016668319702,9.593308448791504,9.496740341186523
106,1024,0.001,32,CONTROL,,17250,,,0.795013842611201,,,,,,,,
107,1024,0.001,32,GMC,420128.0,163074,0.9746345,0.7866021554654836,0.8006617031107371,2.930330514907837,157.3125,2.6071572303771973,0.2508245408535003,2999788.5,0.6670116782188416,16.16619110107422,14.981619834899902
108,1024,0.001,32,ICEH,171297.0,179586,0.74383223,0.6842072146863156,0.8033504002524352,17.024608612060547,142.8125,3.289630174636841,1.1040890216827393,3015341.25,0.3977475166320801,18.53539085388184,12.794678688049316
