,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,a1,a2,a3,a4,a5,y2
0,1024,0.0001,32,CLIP,6721.0,12929,0.5295062,0.00023395976,0.0024830874,0.0083306767046451,0.0099899647757411,0.1369553804397583,0.0100984936580061,0.0179536696523427,0.067678652703762
1,1024,0.0001,32,CONTROL,,12929,,,0.0019376192,,,,,,
2,1024,0.0001,32,GMC,320288.0,127457,0.39465547,0.0002765092,0.0013276516,0.0197610724717378,0.0149164116010069,0.0220104772597551,0.0552799701690673,0.038192544132471,0.00396363530308
3,1024,0.0001,32,ICEH,137761.0,143969,0.47612998,0.00075647,0.0013711106,0.004570853896439,0.0034992229193449,0.0766003280878067,0.0061664842069149,0.0049842773005366,0.6245536804199219
4,1024,0.0001,32,MCN,9984.0,12929,0.5523454,0.0011685657,0.0018975034,0.144514188170433,0.1041063293814659,0.1986385881900787,0.1400567144155502,0.1077399477362632,0.3703913390636444
5,1024,0.0001,32,SCARF,13952.0,12929,0.48549706,0.001020249,0.0019681102,,,,,,
6,1024,0.0001,32,SUBTAB,8832.0,12929,0.4778013,0.00021928389,0.0021964482,,,,,,
7,1024,0.0001,64,CLIP,25729.0,50433,0.49771708,0.00023561332,0.0016234567,0.0074328524060547,0.0046969130635261,0.0497449375689029,0.0079990588128566,0.0327561572194099,0.1276216506958007
8,1024,0.0001,64,CONTROL,,50433,,,0.0017937047,,,,,,
9,1024,0.0001,64,GMC,324416.0,150081,0.41395316,0.00020367994,0.0013309165,0.0244199801236391,0.0238972064107656,0.0230249986052513,0.0518548414111137,0.0323732383549213,0.0040040682069957
10,1024,0.0001,64,ICEH,141889.0,166593,0.4571011,0.0006379674,0.0014098242,0.0035555795766413,0.0051339683122932,0.0590922310948371,0.0081907492130994,0.003709286218509,0.2181926667690277
11,1024,0.0001,64,MCN,32256.0,50433,0.5574599,0.0009606017,0.0013692126,0.0260844714939594,0.0356558561325073,0.1353811770677566,0.0713687166571617,0.0302437897771596,0.1229891180992126
12,1024,0.0001,64,SCARF,54528.0,50433,0.48408118,0.00022026131,0.0016865161,,,,,,
13,1024,0.0001,64,SUBTAB,34048.0,50433,0.45562503,0.00034815056,0.0014676857,,,,,,
14,1024,0.0001,128,CLIP,100609.0,199169,0.47257966,0.00020504779,0.0012352584,0.0046558235771954,0.0045005176216363,0.058228962123394,0.0065670381300151,0.0052949367091059,0.1069595217704773
15,1024,0.0001,128,CONTROL,,199169,,,0.0014938744,,,,,,
16,1024,0.0001,128,GMC,332672.0,232193,0.42000386,0.0004114185,0.0012918802,0.0230658669024705,0.0176378544420003,0.0274939369410276,0.050463493913412,0.0312758162617683,0.0041985725983977
17,1024,0.0001,128,ICEH,150145.0,248705,0.49732667,0.00079491176,0.0012862534,0.0037949371617287,0.0074876551516354,0.1652586311101913,0.0576263479888439,0.011848404072225,0.2546771764755249
18,1024,0.0001,128,MCN,113664.0,199169,0.5542007,0.0012661638,0.001314035,0.0129986433312296,0.0128834238275885,0.0716814398765564,0.03629856929183,0.0394382141530513,0.1900632977485656
19,1024,0.0001,128,SCARF,215552.0,199169,0.4577783,0.00024014484,0.001276334,,,,,,
20,1024,0.0001,128,SUBTAB,133632.0,199169,0.44560274,0.00034668992,0.0013669224,,,,,,
21,1024,0.0002,32,CLIP,6721.0,12929,0.5260132,0.0003946286,0.0014401051,0.0056114066392183,0.0050007747486233,0.0735319852828979,0.0155281377956271,0.0183466710150241,0.1258388608694076
22,1024,0.0002,32,CONTROL,,12929,,,0.0016675477,,,,,,
23,1024,0.0002,32,GMC,320288.0,127457,0.3744652,0.00024714167,0.0013387682,0.0226167030632495,0.0180341005325317,0.0208445079624652,0.0465991906821727,0.0299537889659404,0.0041689737699925
24,1024,0.0002,32,ICEH,137761.0,143969,0.4444448,0.00034390442,0.0013918906,0.0032115967478603,0.003011085325852,0.0073226536624133,0.0056961346417665,0.0078757898882031,0.6235353946685791
25,1024,0.0002,32,MCN,9984.0,12929,0.5653748,0.0013157142,0.0013705333,0.1165043115615844,0.1087937578558921,0.1421563923358917,0.1197490617632865,0.0904587879776954,0.1243775933980941
26,1024,0.0002,32,SCARF,13952.0,12929,0.49450985,0.0003868357,0.0019366761,,,,,,
27,1024,0.0002,32,SUBTAB,8832.0,12929,0.48590988,0.0006303363,0.0016065306,,,,,,
28,1024,0.0002,64,CLIP,25729.0,50433,0.5046799,0.0005931292,0.0012380109,0.0047214063815772,0.0054679149761796,0.0504904389381408,0.015280065126717,0.0085258083418011,0.1093754842877388
29,1024,0.0002,64,CONTROL,,50433,,,0.0013909626,,,,,,
30,1024,0.0002,64,GMC,324416.0,150081,0.36999977,0.00027860375,0.0013242363,0.0139965461567044,0.0147380707785487,0.0227643158286809,0.0475048758089542,0.0383824035525321,0.0041312254033982
31,1024,0.0002,64,ICEH,141889.0,166593,0.5143333,0.00035718913,0.001385874,0.0024747923016548,0.0026880444493144,0.0210069064050912,0.0060084983706474,0.0041039017960429,0.437907874584198
32,1024,0.0002,64,MCN,32256.0,50433,0.56650907,0.0012589626,0.0013695635,0.0199854411184787,0.0190736968070268,0.1148303300142288,0.0437150858342647,0.0219430234283208,0.2250276207923889
33,1024,0.0002,64,SCARF,54528.0,50433,0.47494763,0.0010680067,0.0013057624,,,,,,
34,1024,0.0002,64,SUBTAB,34048.0,50433,0.5326796,0.00078881363,0.0012896575,,,,,,
35,1024,0.0002,128,CLIP,100609.0,199169,0.49719548,0.00041184213,0.0010461166,0.0039430148899555,0.0049323816783726,0.0524629615247249,0.0164098590612411,0.0050230934284627,0.0874063223600387
36,1024,0.0002,128,CONTROL,,199169,,,0.0014178285,,,,,,
37,1024,0.0002,128,GMC,332672.0,232193,0.35310218,0.0002911878,0.0013030828,0.0150935724377632,0.017222536727786,0.0216331742703914,0.0480734705924987,0.0282369144260883,0.0043320218101143
38,1024,0.0002,128,ICEH,150145.0,248705,0.45276022,0.00069214933,0.0013609263,0.0021848224569112,0.0029096100479364,0.0109305707737803,0.0078681046143174,0.0080390367656946,0.3269843459129333
39,1024,0.0002,128,MCN,113664.0,199169,0.52091014,0.0009894046,0.0013420265,0.0114330574870109,0.0084890108555555,0.0728348493576049,0.041602112352848,0.0446166582405567,0.1436271220445633
40,1024,0.0002,128,SCARF,215552.0,199169,0.4791419,0.0006865754,0.0012897821,,,,,,
41,1024,0.0002,128,SUBTAB,133632.0,199169,0.47009474,0.0008465847,0.0014016799,,,,,,
42,1024,0.0003,32,CLIP,6721.0,12929,0.49120414,0.0005376498,0.0013248096,0.0095362812280654,0.0082298088818788,0.1350766718387603,0.0158373098820447,0.0117289638146758,0.1023959144949913
43,1024,0.0003,32,CONTROL,,12929,,,0.0013787809,,,,,,
44,1024,0.0003,32,GMC,320288.0,127457,0.34823936,0.00029510862,0.0014270337,0.0174706932157278,0.0120793236419558,0.0250177830457687,0.0479865744709968,0.0227315500378608,0.0041495221666991
45,1024,0.0003,32,ICEH,137761.0,143969,0.45652652,0.0005486275,0.0014115217,0.0050556464120745,0.0040731416083872,0.0437152981758117,0.0063139190897345,0.003122542053461,0.647153913974762
46,1024,0.0003,32,MCN,9984.0,12929,0.5643023,0.0012887378,0.0013465444,0.0243410039693117,0.0181647259742021,0.1105870828032493,0.0632202252745628,0.0453074723482131,0.2594369053840637
47,1024,0.0003,32,SCARF,13952.0,12929,0.46244064,0.0014024036,0.0013392199,,,,,,
48,1024,0.0003,32,SUBTAB,8832.0,12929,0.4527312,0.00027383483,0.001438316,,,,,,
49,1024,0.0003,64,CLIP,25729.0,50433,0.44061998,0.0003663835,0.0012416161,0.0053139999508857,0.0043367748148739,0.0362847708165645,0.013134860433638,0.0053572421893477,0.1016191020607948
50,1024,0.0003,64,CONTROL,,50433,,,0.0013289043,,,,,,
51,1024,0.0003,64,GMC,324416.0,150081,0.3511358,0.0003275102,0.001401601,0.0186118688434362,0.0157817341387271,0.0240516439080238,0.0450249947607517,0.0405625104904174,0.0043034050613641
52,1024,0.0003,64,ICEH,141889.0,166593,0.4415282,0.00052416965,0.0013483834,0.002023606095463,0.0046215988695621,0.0501908510923385,0.0036942039150744,0.0043703317642211,0.1784045398235321
53,1024,0.0003,64,MCN,32256.0,50433,0.5321797,0.000961833,0.0012429396,0.1124068200588226,0.0491952784359455,0.1371963620185852,0.0864339917898178,0.0804246068000793,0.1205824837088584
54,1024,0.0003,64,SCARF,54528.0,50433,0.47146124,0.0008474578,0.0013606508,,,,,,
55,1024,0.0003,64,SUBTAB,34048.0,50433,0.4944399,0.00026286743,0.0013566825,,,,,,
56,1024,0.0003,128,CLIP,100609.0,199169,0.43797502,0.00024094679,0.0012869162,0.0049503548070788,0.0042951023206114,0.0342470221221447,0.0102914860472083,0.0063208499923348,0.0753267258405685
57,1024,0.0003,128,CONTROL,,199169,,,0.0013996513,,,,,,
58,1024,0.0003,128,GMC,332672.0,232193,0.37538412,0.00027658208,0.0012377659,0.0176357757300138,0.0181638579815626,0.0222518406808376,0.0440155491232872,0.0407537519931793,0.0040756948292255
