,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Recommended IND,Division Name,Department Name,Class Name,Age,Positive Feedback Count
27,128,0.0005,256,SUBTAB,110083072.0,110346245,0.25903907,0.3929297180317249,0.3552825552825552,,,,,,
28,128,0.00075,128,CLIP,109618561.0,109750405,0.40982938,0.3769962992212452,0.3774657774657775,0.4705882352941176,0.5586080586080585,1.0,0.4194444444444444,758.7999877929688,170.8222198486328
29,128,0.00075,128,CONTROL,,109750405,,,0.3438048438048438,,,,,,
30,128,0.00075,128,GMC,223267456.0,110880901,0.36227357,0.3832208552768364,0.3622674622674623,0.5,0.3809523809523809,0.4545454545454546,0.236111111111111,714.6889038085938,29.511110305786133
31,128,0.00075,128,ICEH,111011713.0,111143557,0.6804454,0.3404914062308601,0.3328887328887329,0.4518716577540107,0.5970695970695971,1.0,0.386111111111111,662.977783203125,831.5777587890625
32,128,0.00075,128,MCN,109620096.0,109750405,0.45402783,0.3803408762871398,0.3266409266409266,0.462566844919786,0.631868131868132,1.0,0.3287878787878788,530.1777954101562,29.33333396911621
33,128,0.00075,128,SCARF,109766272.0,109750405,0.42507812,0.3815236529538162,0.3597051597051597,,,,,,
34,128,0.00075,128,SUBTAB,109684352.0,109750405,0.23269257,0.4020221864162431,0.3538091425731875,,,,,,
35,128,0.00075,256,CLIP,109820417.0,110346245,0.7296112,0.3605606338498148,0.3317663205303655,0.429144385026738,0.6556776556776557,1.0,0.3611111111111111,777.4000244140625,247.55555725097656
36,128,0.00075,256,CONTROL,,110346245,,,0.337312126076171,,,,,,
37,128,0.00075,256,GMC,223333120.0,111340549,0.36835283,0.3795074782106634,0.3259389259389259,0.5,0.3571428571428571,0.3409090909090909,0.2083333333333333,680.3555297851562,29.511110305786133
38,128,0.00075,256,ICEH,111077377.0,111603205,0.7614555,0.2786969079577985,0.3432783432783433,0.5,0.6153846153846154,1.0,0.3333333333333333,545.2666625976562,771.4444580078125
