,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,KWG,KWI,STRM,STRN,SA,SB,Run2,Run3,Run4
121,4096,0.001,128,GMC,284288.0,232577,0.8446213,0.000356041,0.00027601857,0.552198657078538,0.5389946847496481,0.535463179129843,0.4957262343980377,0.6413079445741129,0.5753675737547539,18335.673828125,18594.26171875,33593.4921875
122,4096,0.001,128,ICEH,101377.0,249089,0.6034115,0.00026741644,0.00031262834,0.5648383826596847,0.515419731904882,0.5471912840726241,0.5015933196083627,0.539306290070021,0.5055370527637263,120229.4765625,64673.82421875,29745.95703125
123,4096,0.001,128,MCN,104192.0,199553,0.7616911,0.00046329206,0.0012413184,0.4753337855118126,0.4966982455766436,0.5,0.4972176359077845,0.4989747983573138,0.4953247424583687,85740.6015625,62822.88671875,30286.99609375
124,4096,0.001,128,SCARF,215936.0,199553,0.80444837,0.00050073856,0.0034608236,,,,,,,,,
125,4096,0.001,128,SUBTAB,117632.0,199553,0.83405244,0.0003139778,0.0038567327,,,,,,,,,
126,4096,0.002,32,CLIP,3745.0,13025,0.8293384,0.00034245613,0.0007275335,0.4829849614189653,0.5006109755361132,0.505871659204191,0.5,0.5643705498271634,0.5544142081748699,149905.234375,210841.703125,145836.28125
127,4096,0.002,32,CONTROL,,13025,,,0.002634182,,,,,,,,,
128,4096,0.002,32,GMC,271904.0,81761,0.91211843,0.00037514957,0.00085014943,0.5672670186851817,0.5335506677512667,0.533802843529654,0.5082078042085381,0.6342585753537979,0.5771502418491304,28729.046875,33710.94921875,32738.4609375
129,4096,0.002,32,ICEH,88993.0,98273,0.8146362,0.00027307705,0.004755885,0.5561971546790748,0.5240506493983194,0.5387578545055047,0.4982707895934826,0.5789671167311726,0.5129468670383636,5384.7099609375,186.6794891357422,11325.9765625
130,4096,0.002,32,MCN,16832.0,13025,0.8296955,0.0003687222,0.0048395335,0.4944358951918355,0.4926147148011192,0.5027171544970266,0.4997350129435985,0.5161845953851154,0.4958003175423697,503471.875,95682.703125,72127.0625
131,4096,0.002,32,SCARF,14048.0,13025,0.7259108,0.00038196938,0.0034261497,,,,,,,,,
132,4096,0.002,32,SUBTAB,7904.0,13025,0.83222187,0.00033437024,0.00065812905,,,,,,,,,
133,4096,0.002,64,CLIP,13633.0,50625,0.83163536,0.0003051044,0.00063472014,0.5080681039135317,0.4997913092282171,0.503827294375242,0.5021640609606121,0.551552574821993,0.536709374884614,325323.0625,54287.36328125,434213.4375
134,4096,0.002,64,CONTROL,,50625,,,0.0006995339,,,,,,,,,
135,4096,0.002,64,GMC,276032.0,113601,0.83155674,0.0017889158,0.0011455592,0.4932252237797259,0.4961831789909668,0.4986225166971477,0.4961848658418095,0.4876192867905575,0.501067090056493,4234091.0,4170217.5,3148779.5
136,4096,0.002,64,ICEH,93121.0,130113,0.8338856,0.00026869308,0.0007295033,0.5,0.5,0.5,0.5,0.5,0.5,746672.125,2426477.75,3380256.25
137,4096,0.002,64,MCN,39808.0,50625,0.727871,0.0004748641,0.0055610803,0.4971441039329803,0.4986294492576529,0.4852083757365607,0.5011754554040373,0.508355245664313,0.5,90592.3515625,117308.796875,91175.1015625
138,4096,0.002,64,SCARF,54720.0,50625,0.75926346,0.00046819102,0.0014026784,,,,,,,,,
139,4096,0.002,64,SUBTAB,30144.0,50625,0.83237064,0.00031172164,0.0019831941,,,,,,,,,
140,4096,0.002,128,CLIP,51841.0,199553,0.8321038,0.00028004334,0.0015189856,0.5097023887665252,0.5127212566203817,0.5089201127627978,0.5013453189017306,0.5806836647265636,0.5236450910165048,9766.4033203125,21680.119140625,2250.581787109375
141,4096,0.002,128,CONTROL,,199553,,,0.0458372,,,,,,,,,
