,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,latitude,longitude
126,512,0.005,128,CLIP,25718697.0,25775200,0.91642493,0.7465712008118938,0.692759727565847,2175.827392578125,7773.05810546875
127,512,0.005,128,CONTROL,,25775200,,,0.5865433943238924,,
128,512,0.005,128,GMC,54309072.0,26981728,0.54046375,0.8226053230314978,0.0326086956521739,579.7357788085938,6050.77294921875
129,512,0.005,128,ICEH,27187881.0,27244384,0.49862295,0.3915771029168544,0.7873885186995402,627.2904052734375,5448.03662109375
130,512,0.005,128,MCN,25725224.0,25775200,0.7121711,0.8756697700802913,0.7182477956881722,922.7134399414062,8237.765625
131,512,0.005,128,SCARF,25784488.0,25775200,0.52853,0.6694294930739286,0.6656479155464614,,
132,512,0.005,128,SUBTAB,25751720.0,25775200,0.95906097,0.8776305678563394,0.6744094087213087,,
133,512,0.005,256,CLIP,25945897.0,26157152,0.98016423,0.8864630200532521,0.4179595421650313,1777.3536376953125,7800.927734375
134,512,0.005,256,CONTROL,,26157152,,,0.3938432406965146,,
135,512,0.005,256,GMC,54374736.0,27202144,0.5791503,0.8310009732010449,0.5876301322225944,717.7316284179688,6046.796875
136,512,0.005,256,ICEH,27253545.0,27464800,0.66473645,0.6824365338173319,0.6132375678539306,1142.4393310546875,5649.6748046875
137,512,0.005,256,MCN,25958952.0,26157152,0.58066344,0.8905417404648883,0.6026111492529523,1372.6824951171875,8340.546875
138,512,0.005,256,SCARF,26208552.0,26157152,0.51039565,0.718528106550024,0.4936104287118716,,
139,512,0.005,256,SUBTAB,26077480.0,26157152,0.6253876,0.905349619235339,0.6003402879203806,,
140,512,0.005,512,CLIP,26596905.0,27412576,0.6351104,0.8660457649758572,0.0574048913043478,1447.638916015625,7207.65869140625
141,512,0.005,512,CONTROL,,27412576,,,0.1248620902316963,,
142,512,0.005,512,GMC,54506064.0,27937888,0.67969614,0.858316021198809,0.5975965743332654,658.6318359375,4736.89599609375
143,512,0.005,512,ICEH,27384873.0,28200544,,0.6091007265169545,0.6817870690619142,807.0389404296875,4204.3037109375
144,512,0.005,512,MCN,26623016.0,27412576,0.73817796,0.9031957476532614,0.3420830319709651,1631.0985107421875,6847.419921875
145,512,0.005,512,SCARF,27646504.0,27412576,0.7823976,0.8795376903544616,0.0804853041695147,,
146,512,0.005,512,SUBTAB,27122216.0,27412576,0.6436593,0.8997716080919037,0.0997250678927697,,
147,512,0.0075,128,CLIP,25718697.0,25775200,0.97370565,0.8605031676921884,0.6197595876542559,891.0300903320312,8003.7607421875
148,512,0.0075,128,CONTROL,,25775200,,,0.5933766484205255,,
149,512,0.0075,128,GMC,54309072.0,26981728,0.5086495,0.797925325128651,0.0830015251599102,443.6432495117188,6206.2080078125
150,512,0.0075,128,ICEH,27187881.0,27244384,0.6008778,0.4873836341909668,0.0844155844155844,618.4469604492188,9182.4208984375
151,512,0.0075,128,MCN,25725224.0,25775200,0.6317583,0.8223726654186019,0.6600917557844747,1513.9913330078125,11397.859375
152,512,0.0075,128,SCARF,25784488.0,25775200,0.687376,0.6930029096351459,0.3558648633473468,,
153,512,0.0075,128,SUBTAB,25751720.0,25775200,0.632703,0.9033936629744628,0.5464922819167981,,
154,512,0.0075,256,CLIP,25945897.0,26157152,0.7737993,0.7696513414388829,0.1655341409101108,1852.37060546875,8394.2099609375
155,512,0.0075,256,CONTROL,,26157152,,,0.1045003935879926,,
156,512,0.0075,256,GMC,54374736.0,27202144,0.47987154,0.817319150854984,0.0178571428571428,765.8617553710938,5924.69580078125
157,512,0.0075,256,ICEH,27253545.0,27464800,0.6526957,0.7066636238640592,0.0671897546897547,726.0704345703125,9918.998046875
158,512,0.0075,256,MCN,25958952.0,26157152,0.5777019,0.8870019913776078,0.5655950951196361,2476.044677734375,7323.33837890625
159,512,0.0075,256,SCARF,26208552.0,26157152,0.5797799,0.7346127892906161,0.042267219387755,,
160,512,0.0075,256,SUBTAB,26077480.0,26157152,0.6405401,0.8637894047692044,0.2162410537363686,,
161,512,0.0075,512,CLIP,26596905.0,27412576,0.8190077,0.7702937964363886,0.0373376623376623,1959.0982666015625,8049.9072265625
162,512,0.0075,512,CONTROL,,27412576,,,0.0497835497835497,,
163,512,0.0075,512,GMC,54506064.0,27937888,0.30018464,0.7708204683933823,0.0178571428571428,986.3870239257812,5416.55810546875
164,512,0.0075,512,ICEH,27384873.0,28200544,0.5742528,0.5155766150873332,0.6304696260918232,782.2525024414062,6333.271484375
165,512,0.0075,512,MCN,26623016.0,27412576,0.5174512,0.8980451025323261,0.0614482635159326,1124.8013916015625,6054.755859375
166,512,0.0075,512,SCARF,27646504.0,27412576,0.67828214,0.8470631190865604,0.0272108843537414,,
167,512,0.0075,512,SUBTAB,27122216.0,27412576,0.62862045,0.9091325426611196,0.0607879191349586,,
168,512,0.01,256,CONTROL,,26157152,,,0.0531118317772453,,
169,512,0.01,256,SCARF,26208552.0,26157152,0.51218474,0.7816959737046202,0.0178571428571428,,
170,512,0.01,256,SUBTAB,26077480.0,26157152,0.6386966,0.9084200606986376,0.0178571428571428,,
171,512,0.01,512,CLIP,26596905.0,27412576,0.9874791,0.8583861597082217,0.034090909090909,881.7366333007812,6733.93994140625
172,512,0.01,512,CONTROL,,27412576,,,0.0966771323914181,,
173,512,0.01,512,GMC,54506064.0,27937888,0.5055172,0.7526845281720876,0.0178571428571428,1217.831298828125,4667.27783203125
174,512,0.01,512,ICEH,27384873.0,28200544,0.8513903,0.683426262499838,0.0557021103896103,952.8634643554688,5327.4892578125
175,512,0.01,512,MCN,26623016.0,27412576,0.7207816,0.8891116511493405,0.0821197220653742,767.9898071289062,10009.171875
176,512,0.01,512,SCARF,27646504.0,27412576,0.6368446,0.746385217586636,0.0435267857142857,,
177,512,0.01,512,SUBTAB,27122216.0,27412576,0.6359946,0.9040730358308314,0.1037689916766003,,
