,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Hour,Month,DayofWeek,Environment_Type,Altitude_m,PM_sub_2_5_sub_particulate_matter_Hourly_measured
102,4096,0.0007,128,MCN,91904.0,138113,0.10536874,0.337173,0.14537361,0.0484980271492325,0.1107612903033959,0.1424835572413495,0.4451441379294646,1894.935302734375,129.3562469482422
103,4096,0.0007,128,SCARF,154496.0,138113,0.111378945,0.4000164,0.14509329,,,,,,
104,4096,0.0007,128,SUBTAB,72576.0,138113,0.82306254,0.17212676,0.1487503,,,,,,
105,4096,0.001,32,CLIP,3745.0,9953,0.18301156,0.2394187,0.15089928,0.0468842192226846,0.1425779843092322,0.1682574631928779,0.5047707148191027,3784.27783203125,995.9473876953124
106,4096,0.001,32,CONTROL,,9953,,,0.15482736,,,,,,
107,4096,0.001,32,GMC,198176.0,66401,0.097879596,0.22348267,0.14372593,0.0447701888814371,0.1191616473619157,0.1581932156346184,0.4088813651739731,2291.350830078125,126.90406799316406
108,4096,0.001,32,ICEH,76705.0,82913,0.9279123,0.16614833,0.14541085,0.0361143830351394,0.0904115712648104,0.1617948316500634,0.5827949512265742,3150.95361328125,421.8587341308594
109,4096,0.001,32,MCN,16832.0,9953,0.16022572,0.36057723,0.15243629,0.0530266077441096,0.136155932462133,0.1609684575462664,0.4462958416631741,13290.9150390625,599.7789306640625
110,4096,0.001,32,SCARF,10976.0,9953,0.11367673,0.26909631,0.15345828,,,,,,
111,4096,0.001,32,SUBTAB,5856.0,9953,0.54419243,0.17032906,0.15507555,,,,,,
112,4096,0.001,64,CLIP,11585.0,36289,0.23286138,0.18997557,0.14572302,0.0457630402547093,0.1446381218143004,0.1796435623506595,0.4590351231404667,13657.638671875,1432.8271484375
113,4096,0.001,64,CONTROL,,36289,,,0.14816564,,,,,,
114,4096,0.001,64,GMC,202304.0,89025,0.08273602,0.22221698,0.14446536,0.0420347246252,0.1321143742248819,0.1579092050603889,0.3298341083266536,1952.1036376953125,153.30987548828125
115,4096,0.001,64,ICEH,80833.0,105537,0.8493213,0.16600482,0.14238581,0.0520009834875498,0.1161857422649104,0.1686522189096005,0.4421234634701296,2800.9169921875,776.2192993164062
