,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Month,DayofMonth,CRSDepTime,CRSArrTime,Distance
59,4096,0.0003162277660168,128,ICEH,105345.0,187521,0.64627725,0.0187948588281869,0.0169271845370531,0.0894152300963666,0.0439581690655295,0.015927355736494,0.0120736667886376,0.0097832474857568
60,4096,0.0003162277660168,128,MCN,72192.0,137985,0.18463261,0.0186959970742463,0.0170132461935281,0.0891183409207576,0.0472057321892044,0.0157201867550611,0.0137311536818742,0.1832302063703536
61,4096,0.0003162277660168,128,SCARF,203904.0,187521,0.37475318,0.0187062956392765,0.0169636067003011,,,,,
62,4096,0.0003162277660168,128,SUBTAB,105344.0,105473,0.1986086,0.0187932793051004,0.0171606466174125,,,,,
63,4096,0.0005623413251903,32,CLIP,4737.0,9921,0.20136172,0.0187063571065664,0.0169603489339351,0.0943675615731495,0.043553683044489,0.0171230789273977,0.0126769766211509,0.1005963385105132
64,4096,0.0005623413251903,32,CONTROL,,9921,,,0.0169956218451261,,,,,
65,4096,0.0005623413251903,32,GMC,198848.0,66177,0.77899915,0.0187048092484474,0.0169752314686775,0.0783889707007001,0.0355889791414792,0.0118929268792271,0.0149381877854466,0.0225586872547864
66,4096,0.0005623413251903,32,ICEH,92961.0,98145,0.3777587,0.018736969679594,0.0169262588024139,0.0945200415286428,0.0464549289387,0.0144323371350765,0.0143654188141226,0.0110422503203153
67,4096,0.0005623413251903,32,MCN,8832.0,9921,0.13964239,0.0187082681804895,0.0169579032808542,0.0981710406089396,0.0441488047685939,0.0243622511625289,0.0198518391698598,0.3070711493492126
68,4096,0.0005623413251903,32,SCARF,166848.0,159585,0.40627044,0.0186379645019769,0.0169992912560701,,,,,
69,4096,0.0005623413251903,32,SUBTAB,62048.0,62081,0.2001789,0.0188545808196067,0.0171752180904149,,,,,
70,4096,0.0005623413251903,64,CLIP,15617.0,36225,0.23807961,0.0187508314847946,0.0169712044298648,0.0865804137988182,0.0422982513305093,0.0159586109220981,0.0124024199321866,0.0800372585654258
71,4096,0.0005623413251903,64,CONTROL,,36225,,,0.0170277096331119,,,,,
72,4096,0.0005623413251903,64,GMC,206080.0,88833,0.49792016,0.0188467074185609,0.0169474873691797,0.0708452198687442,0.0232401359114577,0.0136973429471254,0.0153963454067706,0.0274414159357547
73,4096,0.0005623413251903,64,ICEH,97089.0,117697,0.72667366,0.0187277123332023,0.0169468596577644,0.0908826927799589,0.0428969651497414,0.0159740056842565,0.010999321937561,0.0093074981123208
74,4096,0.0005623413251903,64,MCN,23808.0,36225,0.15999138,0.018703993409872,0.016926659271121,0.0926741207656606,0.0434053212067773,0.0200043413788079,0.0135942799970507,0.3003862500190735
75,4096,0.0005623413251903,64,SCARF,179200.0,166849,0.25757512,0.018683036789298,0.0170419849455356,,,,,
76,4096,0.0005623413251903,64,SUBTAB,72384.0,72449,0.14625075,0.0188389681279659,0.0171807501465082,,,,,
77,4096,0.0005623413251903,128,CLIP,55809.0,137985,0.27684185,0.0187103673815727,0.0169426444917917,0.0828421044484486,0.0470488683679755,0.0128807621076703,0.0118364794179797,0.1077196523547172
78,4096,0.0005623413251903,128,CONTROL,,137985,,,0.0170019660145044,,,,,
79,4096,0.0005623413251903,128,GMC,226688.0,171009,0.78012735,0.0187745708972215,0.0169830974191427,0.0779344991337491,0.0394705539711228,0.0127741573378443,0.0168663188815116,0.0272932834923267
80,4096,0.0005623413251903,128,ICEH,105345.0,187521,0.29650235,0.018795620650053,0.0169384013861417,0.0877560491724246,0.0358874457398678,0.0174115728586912,0.0117530422285199,0.0705625563859939
81,4096,0.0005623413251903,128,MCN,72192.0,137985,0.14516203,0.0186615325510501,0.016998128965497,0.0787932903827402,0.0482553181217763,0.015686772763729,0.0109965624287724,0.2397122830152511
82,4096,0.0005623413251903,128,SCARF,203904.0,187521,0.7683915,0.018663665279746,0.0170061234384775,,,,,
83,4096,0.0005623413251903,128,SUBTAB,105344.0,105473,0.14499988,0.0188575852662324,0.0171755719929933,,,,,
84,4096,0.001,32,CLIP,4737.0,9921,0.22235788,0.0185944512486457,0.0169548764824867,0.0987603362526762,0.0445900898369299,0.0136899314820766,0.013524510897696,0.2856984734535218
85,4096,0.001,32,CONTROL,,9921,,,0.0170026067644357,,,,,
86,4096,0.001,32,GMC,198848.0,66177,0.7856397,0.0186922568827867,0.0170518718659877,0.0858506871907173,0.0293574915541796,0.01275528781116,0.0153194470331072,0.0322447195649146
87,4096,0.001,32,ICEH,92961.0,98145,0.6587517,0.0188295654952526,0.0169439949095249,0.0805266190555156,0.0323177221981835,0.0143862674012779,0.0103367129340767,0.0275712553411722
88,4096,0.001,32,MCN,8832.0,9921,0.15304321,0.0188018213957548,0.0169383846223354,0.0865659881374332,0.0448845147495917,0.0325751155614852,0.0154179465025663,0.245268389582634
89,4096,0.001,32,SCARF,166848.0,159585,0.31524882,0.018670231103897,0.0170629303902387,,,,,
90,4096,0.001,32,SUBTAB,62048.0,62081,0.21730761,0.018870398402214,0.0172099471092224,,,,,
91,4096,0.001,64,CLIP,15617.0,36225,0.2606358,0.0187604557722806,0.0169622618705034,0.0822058222079698,0.0473435574057627,0.0131728611886501,0.0149061428382992,0.308008074760437
92,4096,0.001,64,CONTROL,,36225,,,0.0169595535844564,,,,,
93,4096,0.001,64,GMC,206080.0,88833,0.8306442,0.0186050292104482,0.0170416329056024,0.0855627259987062,0.0386513617926942,0.0108184469863772,0.0148753309622406,0.0463128872215747
94,4096,0.001,64,ICEH,97089.0,117697,0.34590563,0.0187534615397453,0.0169267691671848,0.0845530680020542,0.0362802901682358,0.0091028651222586,0.0112790660932659,0.0083799017593264
95,4096,0.001,64,MCN,23808.0,36225,0.19066809,0.0186455976217985,0.0169382654130458,0.0858675892765451,0.0452976151291363,0.0156929828226566,0.0164830610156059,0.177113115787506
96,4096,0.001,64,SCARF,179200.0,166849,0.28568554,0.0186427608132362,0.0169310327619314,,,,,
97,4096,0.001,64,SUBTAB,72384.0,72449,0.14049634,0.0189120676368474,0.0171948596835136,,,,,
98,4096,0.001,128,CLIP,55809.0,137985,0.26300755,0.0188488122075796,0.0169265531003475,0.0876040763269032,0.042970713932198,0.0130811212584376,0.0113615449517965,0.0778772458434104
99,4096,0.001,128,CONTROL,,137985,,,0.0170002449303865,,,,,
100,4096,0.001,128,GMC,226688.0,171009,0.882863,0.0187376383692026,0.0170414112508296,0.0907823236616929,0.0369925265920208,0.0174985025078058,0.0148094231262803,0.0221428293734788
101,4096,0.001,128,ICEH,105345.0,187521,0.32750723,0.0188070740550756,0.0169229302555322,0.088888097419738,0.0428844836536149,0.0062426850199699,0.0110644539818167,0.0082721151411533
102,4096,0.001,128,MCN,72192.0,137985,0.18623027,0.018706526607275,0.0169430170208215,0.0788936652148093,0.045018638939144,0.0131988506764173,0.0201692041009664,0.2095963954925536
103,4096,0.001,128,SCARF,203904.0,187521,0.31048188,0.0187421180307865,0.0169489104300737,,,,,
104,4096,0.001,128,SUBTAB,105344.0,105473,0.35138956,0.0187125131487846,0.0171619746834039,,,,,
105,4096,0.0017782794100389,32,CLIP,4737.0,9921,0.19126076,0.0187274944037199,0.0169346593320369,0.097796252344518,0.042945360333363,0.0120838051661848,0.0193769522011279,0.0753242895007133
106,4096,0.0017782794100389,32,CONTROL,,9921,,,0.0169776286929845,,,,,
107,4096,0.0017782794100389,32,GMC,198848.0,66177,0.8335695,0.0186390094459056,0.0169849414378404,0.0918301846971614,0.0360100489913504,0.010956548154354,0.0164591614156961,0.0349539779126643
108,4096,0.0017782794100389,32,ICEH,92961.0,98145,0.2596762,0.0188042167574167,0.016939191147685,0.0889243501503759,0.0302922347229963,0.0088523784652352,0.0110271358862519,0.0115634156391024
109,4096,0.0017782794100389,32,MCN,8832.0,9921,0.23404916,0.0186591036617755,0.0169308669865131,0.0848788014395235,0.0459503401692719,0.017845407128334,0.0158289428800344,0.191690906882286
110,4096,0.0017782794100389,32,SCARF,166848.0,159585,0.29010394,0.0189559906721115,0.0169963650405406,,,,,
