,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,V1,V6,V10,V12,V13,V14,V15
66,1024,0.0005,32,ICEH,154529.0,161794,0.8262298,0.7438740207010922,0.7732994510207583,1414.88232421875,6401996.5,205.3235321044922,1306099.0,6.882352828979492,20037.646484375,1.6176470518112185
67,1024,0.0005,32,MCN,11104.0,15106,0.8239253,0.7523445988448562,0.7663871733287586,497.8529357910156,3285386.0,231.08824157714844,231509.328125,9.441176414489746,29302.912109375,3.058823585510254
68,1024,0.0005,32,SCARF,16096.0,15106,0.8639583,0.7564583690741693,0.7568014811002459,,,,,,,
69,1024,0.0005,32,SUBTAB,9952.0,15106,0.825271,0.7457146737576485,0.7615728827128725,,,,,,,
70,1024,0.0005,64,CLIP,30017.0,58882,0.8260921,0.7294061302681992,0.7584169668896894,776.4117431640625,6886680.0,215.9411773681641,1356453.625,16.97058868408203,60641.1484375,5.705882549285889
71,1024,0.0005,64,CONTROL,,58882,,,0.7676702693429405,,,,,,,
72,1024,0.0005,64,GMC,374336.0,171010,0.5423218,0.7010207582775776,0.7762409218276434,878.0,2786649.0,58.58823394775391,650417.75,7.352941036224365,29302.912109375,2.8235294818878174
73,1024,0.0005,64,ICEH,158657.0,187522,0.65103906,0.7365685938125465,0.7761408474867044,871.2352905273438,6401996.5,184.11764526367188,1248075.5,7.588235378265381,25738.205078125,9.411765098571776
74,1024,0.0005,64,MCN,36544.0,58882,0.8198806,0.7283982386915995,0.7661548578944359,512.941162109375,3307873.25,135.38235473632812,301843.3125,9.441176414489746,29302.912109375,2.8235294818878174
75,1024,0.0005,64,SCARF,62912.0,58882,0.80004436,0.7617229942242809,0.7666802481843655,,,,,,,
76,1024,0.0005,64,SUBTAB,38336.0,58882,0.81795955,0.7445566706696403,0.7584991708126037,,,,,,,
77,1024,0.0005,128,CLIP,117377.0,232450,0.82768184,0.7426159432721451,0.7547928461142563,702.38232421875,6223885.5,206.11764526367188,1359347.25,16.02941131591797,32814.3828125,5.705882549285889
78,1024,0.0005,128,CONTROL,,232450,,,0.7403749928518328,,,,,,,
79,1024,0.0005,128,GMC,382592.0,265474,0.6940578,0.7573590381426203,0.7668625264482187,720.3529663085938,3029596.25,65.73529052734375,200963.5,6.911764621734619,29302.912109375,2.8235294818878174
80,1024,0.0005,128,ICEH,166913.0,281986,0.74179506,0.7391669525933551,0.7817628809973123,1203.6470947265625,6401996.5,178.88235473632812,1067254.25,7.323529243469238,23337.970703125,9.411765098571776
81,1024,0.0005,128,MCN,130432.0,232450,0.8145053,0.7209355521244354,0.7610653628409676,512.941162109375,3335599.5,237.9705810546875,301843.3125,7.970588207244873,29302.912109375,2.6764705181121826
82,1024,0.0005,128,SCARF,248704.0,232450,0.8819118,0.7641212043232115,0.7522123577514725,,,,,,,
83,1024,0.0005,128,SUBTAB,150400.0,232450,0.81980705,0.7436738720192143,0.7535526391033338,,,,,,,
