,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,isns,northing,easting,resistivity
44,1024,0.0003162277660168,32,GMC,171968.0,59905,0.29098821,8.617776984464541e-05,2.028440121648546e-05,0.5,0.09891938045620915,0.07120016589760775,0.0248089795932173
45,1024,0.0003162277660168,32,ICEH,87713.0,91873,0.434520415,9.416776447323987e-05,1.9256866835348354e-05,0.5055092316855271,0.083707395941019,0.14663809537887565,0.040035347454249796
46,1024,0.0003162277660168,32,MCN,4448.0,7585,0.8514573999999999,7.143433322198609e-05,4.13481102441432e-05,0.5729126733991274,0.2304054647684097,0.16862677037715906,0.12752103433012957
47,1024,0.0003162277660168,32,SCARF,145216.0,137953,0.9791046050000001,4.8130194045369753e-05,1.5328775589295874e-05,,,,
48,1024,0.0003162277660168,32,SUBTAB,56800.0,56833,0.44616296499999997,0.0485899113118648,0.0112438267678953,,,,
49,1024,0.0003162277660168,64,CLIP,12993.0,29505,0.8874759999999999,3.5669607314048064e-05,2.2174860532686238e-05,0.6388408531019638,0.1204553470015525,0.10282446071505545,0.0410597324371337
50,1024,0.0003162277660168,64,CONTROL,,29505,,,1.900096049212129e-05,,,,
51,1024,0.0003162277660168,64,GMC,179200.0,79489,0.55728892,6.734421367582286e-05,1.652680430197455e-05,0.5,0.10439033433794975,0.07491091638803475,0.02595462556928395
52,1024,0.0003162277660168,64,ICEH,91841.0,108353,0.43988622,0.00010691370698619334,1.718861767585572e-05,0.503113285587593,0.11894587427377695,0.1184679567813873,0.0293549764901399
53,1024,0.0003162277660168,64,MCN,15040.0,29505,0.75549395,0.00013468844554153986,2.0685756226157374e-05,0.6179721872703698,0.16191920638084412,0.11105801165103901,0.07863773778080935
54,1024,0.0003162277660168,64,SCARF,157568.0,145217,0.9772270000000001,3.171688967995561e-05,1.6087822586995952e-05,,,,
55,1024,0.0003162277660168,64,SUBTAB,67136.0,67201,0.52984072,0.025597146297513917,0.0247211275273002,,,,
56,1024,0.0003162277660168,128,CLIP,50561.0,116353,0.875600395,2.9772232664981355e-05,1.4374495549418266e-05,0.610928222198067,0.11327700689435,0.1177887916564941,0.043153615668415954
57,1024,0.0003162277660168,128,CONTROL,,116353,,,1.816708936530593e-05,,,,
58,1024,0.0003162277660168,128,GMC,199808.0,149377,0.70301411,6.144683720776761e-05,1.5744757547508322e-05,0.5,0.10395643487572664,0.0749078951776027,0.024207326583564198
