,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol
19,1024,0.0001,128,SCARF,381312.0,364929,0.48312107,0.66602826,0.5607525,,,,,,,,,,,
20,1024,0.0001,128,SUBTAB,250240.0,364929,0.52250373,0.63136923,0.5861291,,,,,,,,,,,
21,1024,0.0002,32,CLIP,12321.0,23649,0.51181597,0.57112306,0.56593835,6.964706897735596,0.029637424275279,0.0269564650952816,102.72598266601562,0.0035228875931352,25486.529296875,27126.556640625,5.150302604306489e-05,0.3395782113075256,0.0855637043714523,9.695318222045898
22,1024,0.0002,32,CONTROL,,23649,,,0.5993144,,,,,,,,,,,
23,1024,0.0002,32,GMC,569888.0,216417,0.491628,0.6768269,0.5331183,1.4019653797149658,0.0188703089952468,0.0272926148027181,19.53739547729492,0.0012819400290027,329.4223022460937,3547.317626953125,5.311218410497531e-05,0.1864954382181167,0.0174959991127252,6.499454021453857
24,1024,0.0002,32,ICEH,221601.0,232929,0.38918537,0.5724019,0.53275776,9.647823333740234,0.0325590409338474,0.0439826138317585,53.10665893554688,0.0050389165990054,506.5403747558594,33233.9921875,5.332062937668525e-05,0.1717619150876999,0.4370112419128418,13.349603652954102
25,1024,0.0002,32,MCN,15584.0,23649,0.49388814,0.6489183,0.568664,9.65613079071045,0.0544719994068145,0.6009474396705627,41.62024688720703,0.0130025008693337,997.3226928710938,3956.7177734375,5.586120823863894e-05,0.1719822287559509,0.0344452299177646,7.56110954284668
26,1024,0.0002,32,SCARF,24672.0,23649,0.49505198,0.6770308,0.5908905,,,,,,,,,,,
27,1024,0.0002,32,SUBTAB,16480.0,23649,0.49302396,0.66256404,0.5844097,,,,,,,,,,,
28,1024,0.0002,64,CLIP,47169.0,92353,0.45983633,0.5559164,0.5432938,7.158568859100342,0.0214506536722183,0.0920737013220787,25.426124572753903,0.0030622275080531,243.7388458251953,14112.6923828125,5.386660268413834e-05,0.0666441693902015,0.0575133934617042,6.727735996246338
29,1024,0.0002,64,CONTROL,,92353,,,0.5544762,,,,,,,,,,,
30,1024,0.0002,64,GMC,574016.0,254401,0.5416419,0.64932305,0.5356931,2.048142194747925,0.0195130389183759,0.0240896921604871,20.639135360717773,0.0018891106592491,363.6934509277344,3064.131591796875,6.800463597755879e-05,0.1842706948518753,0.0181336924433708,1.940616011619568
31,1024,0.0002,64,ICEH,225729.0,270913,0.38302872,0.5453689,0.55988693,12.222637176513672,0.0745047256350517,0.0221647694706916,75.01557922363281,0.0014079893007874,1079.3411865234375,36772.55078125,4.03638077841606e-05,0.1890391260385513,0.0808026194572448,14.888065338134766
32,1024,0.0002,64,MCN,53696.0,92353,0.52025425,0.6357835,0.565688,11.492484092712402,0.0474616959691047,0.1540890783071518,176.65371704101562,0.0321835987269878,698.594970703125,48774.65625,7.769118383293971e-05,0.2790781259536743,0.0483226105570793,5.922417640686035
33,1024,0.0002,64,SCARF,96448.0,92353,0.48994797,0.62489796,0.55902135,,,,,,,,,,,
34,1024,0.0002,64,SUBTAB,63680.0,92353,0.5115972,0.6300721,0.5710559,,,,,,,,,,,
35,1024,0.0002,128,CLIP,184449.0,364929,0.46532828,0.57643074,0.5354578,3.4685306549072266,0.0258802715688943,0.2116704583168029,15.345115661621094,0.0012746785068884,284.37652587890625,21710.021484375,1.6677970052114688e-05,0.1662308424711227,0.0334680005908012,0.6850460767745972
36,1024,0.0002,128,CONTROL,,364929,,,0.61655176,,,,,,,,,,,
37,1024,0.0002,128,GMC,582272.0,397953,0.5393149,0.66615385,0.5424818,4.1554460525512695,0.0193798076361417,0.0230290759354829,21.88552665710449,0.0041572167538106,372.88385009765625,2642.773193359375,7.155293133109808e-05,0.1149017065763473,0.0183284636586904,1.474925518035889
38,1024,0.0002,128,ICEH,233985.0,414465,0.44189847,0.5538034,0.53993857,13.519408226013184,0.0595091842114925,0.0526816956698894,28.466983795166016,0.0194089896976947,2019.9942626953125,45756.45703125,4.67093923361972e-05,0.2581730186939239,0.0730580016970634,9.36981201171875
39,1024,0.0002,128,MCN,197504.0,364929,0.4987456,0.6346462,0.5535211,9.65613079071045,0.0723549202084541,0.0604412332177162,23.65211296081543,0.0032435737084597,328.9242248535156,14668.4892578125,7.638369424967095e-05,0.1991249620914459,0.0505166165530681,3.767131090164185
40,1024,0.0002,128,SCARF,381312.0,364929,0.5845615,0.65717,0.5244847,,,,,,,,,,,
41,1024,0.0002,128,SUBTAB,250240.0,364929,0.50250065,0.62706155,0.54954034,,,,,,,,,,,
42,1024,0.0003,32,CLIP,12321.0,23649,0.5255577,0.5466876,0.5327398,9.682818412780762,0.0407593138515949,0.1401842981576919,101.9780044555664,0.003852002788335,221.1353912353516,7747.513671875,4.033609729958698e-05,0.3435660600662231,0.0825775414705276,9.930780410766602
43,1024,0.0003,32,CONTROL,,23649,,,0.5813088,,,,,,,,,,,
