,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Liberal,Unconstitutional,Precedent_alteration,Unanimous,Lower_court_disagreement,Actions_taken,Year_of_decision
0,1024,0.0001,32,CLIP,2561.0,9793,0.5058748,0.008249922,0.49722996,0.5179715085839522,0.6416443252904378,0.5331632653061225,0.4758305714978579,0.4967637540453074,17.945812225341797,473.3152770996094
1,1024,0.0001,32,CONTROL,,9793,,,0.31789657,,,,,,,
2,1024,0.0001,32,GMC,205088.0,62689,0.5453833,0.012092982,0.38580742,0.464884938512115,0.5,0.5,0.5,0.5,0.2438423633575439,158.44088745117188
3,1024,0.0001,32,ICEH,71969.0,79201,0.78160065,0.014806834,0.29623532,0.5,0.5,0.5,0.5,0.5,1.0615763664245603,478.4901428222656
4,1024,0.0001,32,MCN,5824.0,9793,0.45027378,0.0069566085,0.3714244,0.4790697674418605,0.509789584856609,0.5,0.501104734190176,0.4873552864244486,4.64039421081543,334.6970520019531
5,1024,0.0001,32,SCARF,10816.0,9793,0.9010257,0.011796305,0.30508244,,,,,,,
6,1024,0.0001,32,SUBTAB,4672.0,9793,0.48702168,0.0082159275,0.30352938,,,,,,,
7,1024,0.0001,64,CLIP,9217.0,38017,0.45767686,0.008221839,0.2997714,0.5696943869475222,0.5116987570070679,0.5,0.5175275509929136,0.508040569846195,2.879310369491577,335.7265930175781
8,1024,0.0001,64,CONTROL,,38017,,,0.29752013,,,,,,,
9,1024,0.0001,64,GMC,209216.0,88385,0.55743665,0.015072106,0.3018247,0.485182028491416,0.5,0.5,0.5,0.5,0.2438423633575439,291.1428527832031
10,1024,0.0001,64,ICEH,76097.0,104897,0.8411512,0.008708066,0.29784963,0.5718008036040424,0.7395401738565277,0.6071428571428572,0.4965510737477434,0.5,24.33251190185547,478.4901428222656
