,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
83,1024,0.0005,128,SUBTAB,233472.0,331906,0.9055062,0.6059819956019791,0.7235145226314825,,,,,,,,,,
84,1024,0.0007,32,CLIP,11201.0,21538,0.6550287,0.5876168224299065,0.6416357430822797,4966984.0,558.5401000976562,3.538580179214477,2002462.0,10977394688.0,188.44290161132807,1.709876537322998,2.0231480598449707,0.7916666865348816,5.90123462677002
85,1024,0.0007,32,CONTROL,,21538,,,0.6192275975810885,,,,,,,,,,
86,1024,0.0007,32,GMC,519968.0,198658,0.9981758,0.7602219626168225,0.7746128825361921,90487.2578125,213.0015411376953,1.171296238899231,322486.59375,4304915968.0,24.794754028320312,11.549383163452148,1.0324074029922483,0.3101851940155029,1.9058642387390137
87,1024,0.0007,32,ICEH,204833.0,215170,0.93146867,0.598961196628184,0.7772814733369984,80338.25,1846.3935546875,3.212962865829468,2002461.375,123052200.0,87.86419677734375,3.845679044723511,2.342592477798462,3.567901134490967,2.257715940475464
88,1024,0.0007,32,MCN,14464.0,21538,0.6576265,0.5736725765072384,0.5394733828110684,80177.8828125,922.0972290039062,30.953702926635746,322523.9375,78635232.0,49.19135665893555,16.317901611328125,2.3441357612609863,15.209877014160156,1.5092592239379885
89,1024,0.0007,32,SCARF,22528.0,21538,0.9956237,0.7213613249037933,0.7476120120945575,,,,,,,,,,
90,1024,0.0007,32,SUBTAB,15360.0,21538,0.6578258,0.6139763148249955,0.6419220725673447,,,,,,,,,,
91,1024,0.0007,64,CLIP,42881.0,84034,0.6565198,0.5881150357339198,0.6227895363752978,6222570.5,524.7036743164062,3.649691343307495,2002462.25,15178555392.0,105.08487701416016,2.9614198207855225,2.0910494327545166,1.1882716417312622,4.9938273429870605
92,1024,0.0007,64,CONTROL,,84034,,,0.6791162726772952,,,,,,,,,,
93,1024,0.0007,64,GMC,524096.0,233602,0.99815536,0.761166849917537,0.7731468755726589,80196.03125,196.80247497558597,1.203703761100769,322487.0625,6669609472.0,24.98611068725586,11.541666984558104,1.0478395223617554,0.3194444477558136,1.875
94,1024,0.0007,64,ICEH,208961.0,250114,0.89836586,0.6127393714495144,0.7658798332417079,27403002.0,1845.2762451171875,1.212962985038757,2002461.375,3712284416.0,87.75926208496094,3.8364198207855225,2.327160596847534,3.550925970077514,2.257715940475464
95,1024,0.0007,64,MCN,49408.0,84034,0.65643084,0.5822338281106836,0.7422118380062306,80202.015625,922.0972290039062,15.73611068725586,322523.9375,78635296.0,47.94444274902344,31.07253074645996,64.1975326538086,29.981481552124023,2.4660494327545166
96,1024,0.0007,64,SCARF,88064.0,84034,0.9937849,0.7277178394722374,0.5805559373282023,,,,,,,,,,
