,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
107,1024,0.001,32,GMC,519968.0,198658,0.9982402,0.763314321055525,0.7640816840754994,80198.671875,215.49691772460935,1.2206790447235107,322486.1875,7032758784.0,25.01697540283203,11.574073791503906,1.0308642387390137,0.3194444477558136,1.9058642387390137
108,1024,0.001,32,ICEH,204833.0,215170,0.7099156,0.6043900036650174,0.7739027854132308,104872.4921875,1504.504638671875,1.203703761100769,2220499.25,149836384.0,75.9043197631836,1.7345678806304932,2.327160596847534,0.8981481194496155,2.257715940475464
109,1024,0.001,32,MCN,14464.0,21538,0.6963447,0.5777327286054609,0.6933812076232362,80174.53125,922.0972290039062,15.833333015441896,322491.125,78635248.0,62.625,16.317901611328125,2.5910494327545166,15.165122985839844,2.3919754028320312
110,1024,0.001,32,SCARF,22528.0,21538,,0.6059018233461608,0.6950705515851201,,,,,,,,,,
111,1024,0.001,32,SUBTAB,15360.0,21538,0.90540814,0.6080951072017592,0.6085818673263698,,,,,,,,,,
112,1024,0.001,64,CLIP,42881.0,84034,0.65613043,0.5897242074399853,0.5025196994685724,10131649.0,527.5509033203125,2.4567902088165283,2002462.0,10438244352.0,91.6543197631836,2.2592592239379883,2.243827104568481,0.9861111044883728,6.462963104248047
113,1024,0.001,64,CONTROL,,84034,,,0.5036936503573393,,,,,,,,,,
114,1024,0.001,64,GMC,524096.0,233602,0.99842477,0.7476463716327653,0.7687545812717611,80201.7421875,187.52932739257807,1.2175925970077517,322487.21875,8304433152.0,25.78086471557617,11.547839164733888,1.0416666269302368,0.3256172835826874,2.004629611968994
115,1024,0.001,64,ICEH,208961.0,250114,0.6934257,0.5886017958585303,0.7723222466556716,80435.046875,918.3518676757812,1.3518518209457395,2002461.375,72894144.0,87.87963104248047,3.902777671813965,2.310185194015503,4.794753074645996,2.257715940475464
116,1024,0.001,64,MCN,49408.0,84034,0.656091,0.5660791185633132,0.5621621312076233,80166.1328125,922.0972290039062,206.99073791503903,322523.9375,78635248.0,91.7206802368164,1.7191357612609863,1.796296238899231,15.162036895751951,1.7237653732299805
117,1024,0.001,64,SCARF,88064.0,84034,0.99286884,0.7181773410298699,0.7378481766538392,,,,,,,,,,
118,1024,0.001,64,SUBTAB,59392.0,84034,0.9055363,0.6139018691588785,0.7180399028770387,,,,,,,,,,
119,1024,0.001,128,CLIP,167681.0,331906,0.61332065,0.5944543705332601,0.5019642202675463,5454991.0,556.03857421875,4.239197731018066,2002462.0,12858235904.0,71.2422866821289,2.2067902088165283,2.7608025074005127,0.8904321193695068,10.135802268981934
120,1024,0.001,128,CONTROL,,331906,,,0.7438725490196079,,,,,,,,,,
121,1024,0.001,128,GMC,532352.0,364930,0.9749432,0.7532412497709364,0.7727918270111782,1287357.375,193.97067260742188,1.2376543283462524,322484.1875,6306089472.0,24.73611068725586,11.533950805664062,1.0293209552764893,0.314814805984497,1.8503086566925049
122,1024,0.001,128,ICEH,217217.0,381442,0.84720916,0.6192905900678028,0.7742292010262048,80206.984375,1843.6651611328125,1.9753086566925049,2002461.625,15411058688.0,74.06790161132812,8.140432357788086,2.327160596847534,3.540123462677002,2.257715940475464
123,1024,0.001,128,MCN,180736.0,331906,0.84808177,0.5662337364852483,0.525981537474803,80180.109375,922.0972290039062,1.308642029762268,322523.78125,78635232.0,45.69907379150391,208.67901611328125,1.481481432914734,15.169753074645996,2.4891974925994877
124,1024,0.001,128,SCARF,348160.0,331906,,0.7316233736485248,0.6310186457760674,,,,,,,,,,
125,1024,0.001,128,SUBTAB,233472.0,331906,0.6573171,0.6411604361370716,0.7425153472603996,,,,,,,,,,
126,1024,0.002,32,CLIP,11201.0,21538,0.6549177,0.5883440993219717,0.7536764705882353,778770.0,548.9598999023438,4.101851940155029,2002462.375,14634272768.0,75.36111450195312,2.425925970077514,1.910493850708008,0.6358024477958679,9.770061492919922
127,1024,0.002,32,CONTROL,,21538,,,0.7336391332233828,,,,,,,,,,
128,1024,0.002,32,GMC,519968.0,198658,0.9752704,0.7509448873007147,0.7670595107201759,80195.25,191.10647583007807,1.1728395223617554,322482.125,5658279936.0,24.481481552124023,11.527777671813965,1.0679012537002563,0.3117283880710602,1.9367283582687376
129,1024,0.002,32,ICEH,204833.0,215170,0.89890057,0.5947349734286238,0.7725913963716328,44346320.0,1845.7052001953125,2.143518447875977,2002461.875,15489235968.0,83.24845886230469,7.597222328186035,2.342592477798462,7.785493850708008,2.257715940475464
130,1024,0.002,32,MCN,14464.0,21538,0.6561113,0.5710211654755359,0.7153541323071284,80200.4765625,1848.9119873046875,15.73765468597412,322492.875,78635280.0,45.1466064453125,16.32253074645996,4.015431880950928,29.969135284423828,3.787037134170532
131,1024,0.002,32,SCARF,22528.0,21538,,0.727460142935679,0.7261086677661719,,,,,,,,,,
132,1024,0.002,32,SUBTAB,15360.0,21538,0.70347357,0.6305032527029504,0.7298882169690306,,,,,,,,,,
133,1024,0.002,64,CLIP,42881.0,84034,0.6974852,0.5880005039398937,0.5809854315557998,1895257.25,532.9521484375,3.444444417953491,2002462.375,15332514816.0,87.84259033203125,2.777777671813965,2.695987701416016,0.7237654328346252,7.521605014801025
134,1024,0.002,64,CONTROL,,84034,,,0.7487344236760125,,,,,,,,,,
135,1024,0.002,64,GMC,524096.0,233602,0.9731876,0.7422691039032435,0.7751855415063221,80194.75,194.90432739257807,1.2515431642532349,322481.34375,6387179008.0,24.737653732299805,11.535493850708008,1.0540122985839844,0.297839492559433,1.9182099103927608
