,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,month_sold
17,1024,0.0001,128,ICEH,267521.0,480769,0.2862095,0.04328491,1.6864548,0.0369320251047611,0.0293313674628734,107261048.0,10302621.0,2684850944.0,93143904.0,1871973376.0,644203712.0,5114619904.0,2345507840.0,348108672.0,362.0351257324219,23.613513946533203
18,1024,0.0001,128,MCN,231040.0,431233,0.3572571,0.047472708,262.48337,0.0765684470534324,0.0497926883399486,102468416.0,2259774.5,1598762368.0,237450320.0,1501840896.0,712111488.0,4670399488.0,3545392128.0,97228168.0,4173.00537109375,12.235135078430176
19,1024,0.0001,128,SCARF,447616.0,431233,0.34066483,0.05511415,236.44745,,,,,,,,,,,,,
20,1024,0.0001,128,SUBTAB,316544.0,431233,0.3516142,0.048661657,63.324024,,,,,,,,,,,,,
21,1024,0.0002,32,CLIP,14561.0,27937,0.35993633,0.048210472,27.1487,0.0889000967144966,0.0497926883399486,1376773504.0,2547568.5,2493662208.0,432535136.0,1240918656.0,534868800.0,6415936000.0,1870182784.0,382741856.0,890.8026733398438,24.50810813903809
22,1024,0.0002,32,CONTROL,,27937,,,13.282149,,,,,,,,,,,,,
23,1024,0.0002,32,GMC,669728.0,252001,0.5088172,0.09712725,5.3461933,0.0580804944038391,0.0243531502783298,648443264.0,5505590.5,273348480.0,105017656.0,960026560.0,384449312.0,4053569280.0,1851496192.0,171953424.0,430.3567504882813,11.95945930480957
24,1024,0.0002,32,ICEH,255137.0,268513,0.31002182,0.043907482,3.1905634,0.0433925800025463,0.0490550883114337,118753952.0,12350741.0,526315264.0,182563680.0,1180497792.0,557094848.0,5826012160.0,2970589440.0,178799648.0,261.04052734375,19.49459457397461
25,1024,0.0002,32,MCN,17824.0,27937,0.373015,0.051320475,107.863434,0.10489322245121,0.0497926883399486,183081408.0,2652270.75,276682048.0,107806344.0,1254366080.0,1229227520.0,4212827648.0,2075377024.0,97228168.0,1274.997314453125,32.29999923706055
26,1024,0.0002,32,SCARF,28960.0,27937,0.36826786,0.058762703,112.167114,,,,,,,,,,,,,
27,1024,0.0002,32,SUBTAB,20768.0,27937,0.36868492,0.050245825,61.412548,,,,,,,,,,,,,
28,1024,0.0002,64,CLIP,55745.0,109121,0.3240193,0.053391457,143.84648,0.0756400004029274,0.0492331236600875,1062139648.0,2441358.75,1808966528.0,422727008.0,1967760896.0,471530976.0,6361692160.0,1858421504.0,97228168.0,1227.7135009765625,22.483783721923828
29,1024,0.0002,64,CONTROL,,109121,,,254.05013,,,,,,,,,,,,,
30,1024,0.0002,64,GMC,673856.0,296129,0.6444419,0.106935434,7.059192,0.0511166639626026,0.0212044939398765,637478784.0,5056308.0,274631136.0,107192520.0,1022057408.0,317523104.0,3175095808.0,1317652608.0,174127408.0,504.1567687988281,11.85945987701416
