,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,day,date,period,nswprice,nswdemand,vicprice,vicdemand,transfer
33,1024,0.0002,64,SCARF,67456.0,63426,0.44781926,0.7289175448064305,0.7663474660747931,,,,,,,,
34,1024,0.0002,64,SUBTAB,46976.0,63426,0.7945113,0.7973473889797349,0.7659009910096342,,,,,,,,
35,1024,0.0002,128,CLIP,118273.0,249730,0.8510044,0.797174533743966,0.791810611255608,0.22131063719597,0.082620732486248,0.1358675211668014,0.0007087992271408,0.0089877191931009,3.088619678237592e-06,0.0032354893628507,0.0164297930896282
36,1024,0.0002,128,CONTROL,,249730,,,0.7684658218671341,,,,,,,,
37,1024,0.0002,128,GMC,400768.0,282754,0.24932739,0.7951963016012779,0.8007746024532459,0.2145144546395938,0.0883198007941246,0.1090874448418617,0.0007089662831276,0.0167938638478517,3.26866529576364e-06,0.007980840280652,0.0131180817261338
38,1024,0.0002,128,ICEH,167809.0,299266,0.31152946,0.8120181727930187,0.7883566173934566,0.227424759622902,0.074313186109066,0.272638738155365,0.0047312472015619,0.0060816751793026,2.219607631559484e-05,0.0076626171357929,0.0213310196995735
39,1024,0.0002,128,MCN,131328.0,249730,0.50568897,0.7948036578223756,0.7727283670590399,0.2307941193688095,0.0895454734563827,0.1638966202735901,0.0079014562070369,0.0214670002460479,0.0001180777035187,0.0108947958797216,0.0244852099567651
40,1024,0.0002,128,SCARF,265984.0,249730,0.42843106,0.7177363267856636,0.7918547042187227,,,,,,,,
41,1024,0.0002,128,SUBTAB,184064.0,249730,0.7971718,0.7971553276066583,0.7689305562881841,,,,,,,,
42,1024,0.0003,32,CLIP,8065.0,16354,0.82974976,0.7936166644349676,0.7726918483472578,0.2000222130442478,0.0774217471480369,0.1601262986660003,0.0003621996438596,0.0116665568202734,2.238705974377808e-06,0.0035083333496004,0.0196683630347251
43,1024,0.0003,32,CONTROL,,16354,,,0.7724556940110665,,,,,,,,
44,1024,0.0003,32,GMC,388384.0,147202,0.25781205,0.7845490682994588,0.7842745016886523,0.2119738892225859,0.1019667461514473,0.1094718798995018,0.0010086607653647,0.0142579721286892,3.188713435520185e-06,0.0085955895483493,0.0150683764368295
45,1024,0.0003,32,ICEH,155425.0,163714,0.31295276,0.8140990630921611,0.7945309847744023,0.2271027169302269,0.0886349827051162,0.2375455200672149,0.0008555626263841,0.0069314343854784,3.7205013541097287e-06,0.0093987789005041,0.0622873306274414
46,1024,0.0003,32,MCN,11328.0,16354,0.5622934,0.7646736917847776,0.7789345192446848,0.2420579759561428,0.1760344356298446,0.1584555357694625,0.0234694145619869,0.1033931002020835,0.0001871406857389,0.0884998440742492,0.0662619099020958
47,1024,0.0003,32,SCARF,17344.0,16354,0.4233286,0.7272591895280565,0.7667306420395295,,,,,,,,
48,1024,0.0003,32,SUBTAB,12224.0,16354,0.7152451,0.7873626321605416,0.7657731755183966,,,,,,,,
49,1024,0.0003,64,CLIP,30465.0,63426,0.8451821,0.7930483250760468,0.776852682164126,0.2398336795052258,0.0866307392716407,0.1314182132482528,0.0007252606446854,0.0104714659973979,1.765982915458153e-06,0.0042572128586471,0.0174785573035478
50,1024,0.0003,64,CONTROL,,63426,,,0.7743857755559973,,,,,,,,
51,1024,0.0003,64,GMC,392512.0,176002,0.24212994,0.796249798808949,0.7971707466182997,0.2072526372919391,0.0860337540507316,0.1619258522987365,0.0012853594962507,0.0163049437105655,3.171140861013555e-06,0.0073823202401399,0.0123164430260658
52,1024,0.0003,64,ICEH,159553.0,192514,0.38298592,0.8169913450653077,0.8051870096179466,0.2113387321569955,0.0823332667350769,0.1928240805864334,0.0010742379818111,0.0181872602552175,2.2567890027858084e-06,0.0050226980820298,0.0366788022220134
53,1024,0.0003,64,MCN,36992.0,63426,0.4356526,0.8024934164877926,0.7965205782940892,0.2339150951601664,0.0830759033560752,0.1466895490884781,0.0043360507115721,0.0240153055638074,0.0001526296546217,0.0114921666681766,0.0346623286604881
54,1024,0.0003,64,SCARF,67456.0,63426,0.3872654,0.7509323768135936,0.7803998663685658,,,,,,,,
55,1024,0.0003,64,SUBTAB,46976.0,63426,0.7634903,0.7888471854217303,0.777139827442324,,,,,,,,
