,batch_size,learning_rate,latent_dim,model_type,embedder_params,predictor_params,kmeans_perf,knn_perf,predictor_perf,Total_Discharges,Average_Covered_Charges,Average_Medicare_Payments
143,4096,0.002,128,ICEH,99841.0,149249,0.79215133,0.035284825,0.00766549,457519.78125,0.0859478414058685,0.0738579183816909
144,4096,0.002,128,MCN,102656.0,99713,0.78988355,0.01737635,0.007748865,2491.4384765625,0.3916525840759277,0.2618938386440277
145,4096,0.002,128,SCARF,116096.0,99713,0.94568413,0.07715742,0.0075711585,,,
146,4096,0.002,128,SUBTAB,83328.0,99713,0.78484905,0.018648945,0.007623695,,,
147,4096,0.003,32,CLIP,3361.0,6497,0.79436517,0.026539786,0.0077950736,615911.9375,0.0848387032747268,0.0553484596312046
148,4096,0.003,32,CONTROL,,6497,,,0.00737502,,,
149,4096,0.003,32,GMC,170528.0,74081,0.8983011,0.0405797,0.00737582,3475.943603515625,0.2272241860628128,0.0949203968048095
150,4096,0.003,32,ICEH,87457.0,90593,0.78792286,0.030893555,0.0074269422,224700.234375,0.0981735736131668,0.0978298336267471
151,4096,0.003,32,MCN,16448.0,6497,0.7418937,0.02457205,0.0076800524,3403.13916015625,1.194535255432129,0.1916790008544922
152,4096,0.003,32,SCARF,7520.0,6497,0.9149069,0.18519667,0.0077670184,,,
153,4096,0.003,32,SUBTAB,5472.0,6497,0.79062784,0.018127408,0.0077855964,,,
154,4096,0.003,64,CLIP,12865.0,25281,0.7907071,0.044282485,0.007948909,1017441.4375,0.0786416679620742,0.0563342235982418
155,4096,0.003,64,CONTROL,,25281,,,0.007902787,,,
156,4096,0.003,64,GMC,174656.0,87489,0.9243421,0.026914358,0.00693336,220629.46875,0.0484302714467048,0.0364798046648502
157,4096,0.003,64,ICEH,91585.0,104001,0.79249793,0.0448875,0.0076019266,1017441.4375,0.9153356552124025,0.2774546444416046
158,4096,0.003,64,MCN,39040.0,25281,0.7994413,0.019595223,0.0070484295,557006.5625,0.6282361149787903,0.0885230526328086
159,4096,0.003,64,SCARF,29376.0,25281,0.9407804,0.07476067,0.008348396,,,
160,4096,0.003,64,SUBTAB,21184.0,25281,0.7915858,0.020940589,0.0077580675,,,
161,4096,0.003,128,CLIP,50305.0,99713,0.79059166,0.028992794,0.007709754,968146.0,0.0916463509202003,0.0564226508140563
162,4096,0.003,128,CONTROL,,99713,,,0.00759277,,,
163,4096,0.003,128,GMC,182912.0,132737,0.78891915,0.03503548,0.007832365,2677.144287109375,1.0657998323440552,0.4576781392097473
164,4096,0.003,128,ICEH,99841.0,149249,0.7945836,0.044520237,0.007989323,6797.94970703125,0.6432958245277405,1.1200919151306152
165,4096,0.003,128,MCN,102656.0,99713,0.8080622,0.01762812,0.007913911,2641.193359375,0.3424780964851379,0.3427046239376068
166,4096,0.003,128,SCARF,116096.0,99713,0.9450185,0.07182927,0.007950653,,,
167,4096,0.003,128,SUBTAB,83328.0,99713,0.79577774,0.020907294,0.008174469,,,
168,4096,0.005,32,CLIP,3361.0,6497,0.7842534,0.026292011,0.007917879,1017441.4375,0.0824887007474899,0.0560882724821567
169,4096,0.005,32,CONTROL,,6497,,,0.00780103,,,
170,4096,0.005,32,GMC,170528.0,74081,0.9263669,0.043721676,0.009303153,3007.54443359375,0.4676829278469085,0.2276415526866912
171,4096,0.005,32,ICEH,87457.0,90593,0.78921235,0.020315692,0.0071353144,1017441.4375,0.1098354905843734,0.4358543157577514
172,4096,0.005,32,MCN,16448.0,6497,0.6756369,0.012447453,0.0076842904,3326.507080078125,0.8005039095878601,0.7315152883529663
173,4096,0.005,32,SCARF,7520.0,6497,0.8854121,0.081932835,0.0078679975,,,
